slug,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed
minimum-number-of-operations-to-make-array-xor-equal-to-k,684,684,67.1358,SUCCESS,51.6432,Accepted,TRUE
find-beautiful-indices-in-the-given-array-i,535,535,84.6388,SUCCESS,66.717,Accepted,TRUE
minimize-length-of-array-using-operations,523,523,79.4116,SUCCESS,67.647,Accepted,TRUE
divide-array-into-arrays-with-max-difference,1117,1117,74.0089,SUCCESS,56.3878,Accepted,TRUE
maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,932,932,43.1368,SUCCESS,9.8039,Accepted,TRUE
minimum-number-of-operations-to-make-x-and-y-equal,948,948,25.3969,SUCCESS,59.7884,Accepted,TRUE
minimum-number-of-coins-to-be-added,628,628,80.9918,SUCCESS,71.0744,Accepted,TRUE
remove-adjacent-almost-equal-characters,779,779,100,SUCCESS,56.8966,Accepted,TRUE
length-of-longest-subarray-with-at-most-k-frequency,993,993,81.9885,SUCCESS,71.5566,Accepted,TRUE
make-lexicographically-smallest-array-by-swapping-elements,523,523,66.8378,SUCCESS,98.7145,Accepted,TRUE
maximize-area-of-square-hole-in-grid,524,524,8.9886,SUCCESS,48.3146,Accepted,TRUE
count-beautiful-substrings-i,619,619,62.6075,SUCCESS,99.1304,Accepted,TRUE
high-access-employees,1143,1143,46.3942,SUCCESS,21.6345,Accepted,TRUE
find-champion-ii,758,758,54.1174,SUCCESS,33.476,Accepted,TRUE
minimum-increment-operations-to-make-array-beautiful,570,570,49.495,SUCCESS,39.394,Accepted,TRUE
minimum-number-of-changes-to-make-binary-string-beautiful,577,577,77.8062,SUCCESS,64.5408,Accepted,TRUE
minimum-number-of-groups-to-create-a-valid-assignment,631,631,96.4912,SUCCESS,54.3859,Accepted,TRUE
maximum-value-of-an-ordered-triplet-ii,599,599,72.1853,SUCCESS,97.2923,Accepted,TRUE
minimum-processing-time,716,716,63.1576,SUCCESS,51.5786,Accepted,TRUE
shortest-and-lexicographically-smallest-beautiful-string,674,674,9.3749,SUCCESS,89.7321,Accepted,TRUE
longest-unequal-adjacent-groups-subsequence-ii,443,443,29.4491,SUCCESS,68.076,Accepted,TRUE
beautiful-towers-i,785,785,59.391,SUCCESS,64.9747,Accepted,TRUE
beautiful-towers-ii,785,785,99.0909,SUCCESS,66.3635,Accepted,TRUE
length-of-the-longest-subsequence-that-sums-to-target,941,941,94.8121,SUCCESS,89.8585,Accepted,TRUE
maximum-number-of-alloys,731,731,68.841,SUCCESS,58.6957,Accepted,TRUE
minimum-number-of-operations-to-make-array-empty,748,748,31.549,SUCCESS,31.5492,Accepted,TRUE
minimum-array-length-after-pair-removals,636,636,57.506,SUCCESS,90.0762,Accepted,TRUE
split-array-into-maximum-number-of-subarrays,887,887,57.692,SUCCESS,78.2051,Accepted,TRUE
determine-if-a-cell-is-reachable-at-a-given-time,806,806,64.4473,SUCCESS,13.8775,Accepted,TRUE
minimum-operations-to-make-a-special-number,814,814,100,SUCCESS,56,Accepted,TRUE
find-the-minimum-possible-sum-of-a-beautiful-array,577,577,100,SUCCESS,40.7407,Accepted,TRUE
make-string-a-subsequence-using-cyclic-increments,1128,1128,82.1586,SUCCESS,74.8898,Accepted,TRUE
maximize-the-profit-as-the-salesman,435,435,96.9232,SUCCESS,96.9231,Accepted,TRUE
check-if-strings-can-be-made-equal-with-operations-ii,752,752,53.763,SUCCESS,5.3762,Accepted,TRUE
maximum-sum-of-almost-unique-subarray,767,767,55.8727,SUCCESS,53.6508,Accepted,TRUE
count-pairs-of-points-with-distance-k,1007,1007,77.273,SUCCESS,59.0908,Accepted,TRUE
minimum-seconds-to-equalize-a-circular-array,579,579,35.3835,SUCCESS,58.4616,Accepted,TRUE
check-if-it-is-possible-to-split-array,531,531,100,SUCCESS,96.2617,Accepted,TRUE
count-of-interesting-subarrays,617,617,74.1759,SUCCESS,67.9745,Accepted,TRUE
insert-greatest-common-divisors-in-linked-list,582,582,36.5944,SUCCESS,95.2941,Accepted,TRUE
visit-array-positions-to-maximize-score,744,744,53.7983,SUCCESS,98.1013,Accepted,TRUE
maximum-beauty-of-an-array-after-applying-operation,622,622,50.8043,SUCCESS,69.7676,Accepted,TRUE
number-of-black-blocks,2145,2145,13.9204,SUCCESS,66.1555,Accepted,TRUE
minimum-index-of-a-valid-split,917,917,33.1755,SUCCESS,46.9682,Accepted,TRUE
ways-to-express-an-integer-as-sum-of-powers,1502,1502,79.0246,SUCCESS,82.9269,Accepted,TRUE
apply-operations-to-make-all-array-elements-equal-to-zero,1029,1029,90.3028,SUCCESS,92.1212,Accepted,TRUE
shortest-string-that-contains-three-strings,5324,5324,69.8626,SUCCESS,21.9179,Accepted,TRUE
prime-pairs-with-target-sum,554,554,90.6784,SUCCESS,5.0851,Accepted,TRUE
largest-element-in-an-array-after-merge-operations,1023,1023,73.2921,SUCCESS,83.2299,Accepted,TRUE
double-a-number-represented-as-a-linked-list,1265,1265,84.0105,SUCCESS,41.8782,Accepted,TRUE
longest-non-decreasing-subarray-from-two-arrays,2973,2973,71.6291,SUCCESS,73.0337,Accepted,TRUE
continuous-subarrays,2139,2139,82.5464,SUCCESS,64.5791,Accepted,TRUE
ways-to-split-array-into-good-subarrays,553,553,59.9996,SUCCESS,20.6448,Accepted,TRUE
count-complete-subarrays-in-an-array,1074,1074,13.1254,SUCCESS,75.4486,Accepted,TRUE
maximum-number-of-jumps-to-reach-the-last-index,2639,2639,93.464,SUCCESS,50.9804,Accepted,TRUE
decremental-string-concatenation,1332,1332,93.0555,SUCCESS,94.4444,Accepted,TRUE
construct-the-longest-new-string,2003,2003,100,SUCCESS,35.023,Accepted,TRUE
special-permutations,590,590,60.562,SUCCESS,15.4915,Accepted,TRUE
find-the-value-of-the-partition,806,806,90.9089,SUCCESS,26.6233,Accepted,TRUE
sum-of-matrix-after-queries,2688,2688,46.1535,SUCCESS,38.4615,Accepted,TRUE
minimum-operations-to-make-the-integer-zero,542,542,38.3333,SUCCESS,3.3333,Accepted,TRUE
relocate-marbles,2129,2129,50,SUCCESS,55.8333,Accepted,TRUE
find-the-longest-equal-subarray,1422,1422,48.9968,SUCCESS,16.8676,Accepted,TRUE
minimum-cost-to-make-all-characters-equal,1574,1574,71.25,SUCCESS,73.75,Accepted,TRUE
determine-the-minimum-sum-of-a-k-avoiding-array,2502,2502,51.8517,SUCCESS,59.8765,Accepted,TRUE
collecting-chocolates,2564,2564,53.6224,SUCCESS,98.5507,Accepted,TRUE
find-the-punishment-number-of-an-integer,216,216,46.9596,SUCCESS,72.694,Accepted,TRUE
difference-of-number-of-distinct-values-on-diagonals,709,709,34.375,SUCCESS,70.3125,Accepted,TRUE
maximum-number-of-moves-in-a-grid,814,814,17.5108,SUCCESS,67.7044,Accepted,TRUE
count-the-number-of-complete-components,3356,3356,7.2452,SUCCESS,61.2106,Accepted,TRUE
neighboring-bitwise-xor,1425,1425,26.1015,SUCCESS,25.7626,Accepted,TRUE
movement-of-robots,2567,2567,28.9161,SUCCESS,5.2209,Accepted,TRUE
find-the-longest-semi-repetitive-substring,12264,12264,10.1638,SUCCESS,36.3934,Accepted,TRUE
make-costs-of-paths-equal-in-a-binary-tree,1565,1565,85.9423,SUCCESS,76.6772,Accepted,TRUE
number-of-adjacent-elements-with-the-same-color,183,183,72.619,SUCCESS,40.0794,Accepted,TRUE
frequency-tracker,1118,1118,91.0446,SUCCESS,37.3135,Accepted,TRUE
find-the-prefix-common-array-of-two-arrays,1773,1773,93.1298,SUCCESS,22.3071,Accepted,TRUE
maximum-number-of-fish-in-a-grid,3842,3842,97.7488,SUCCESS,60.6635,Accepted,TRUE
sliding-subarray-beauty,717,717,39.2565,SUCCESS,97.7779,Accepted,TRUE
maximum-or,1215,1215,87.0588,SUCCESS,11.7647,Accepted,TRUE
sum-in-a-matrix,1057,1057,63.8888,SUCCESS,37.4999,Accepted,TRUE
mice-and-cheese,564,564,52.7206,SUCCESS,28.0338,Accepted,TRUE
convert-an-array-into-a-2d-array-with-conditions,1035,1035,56.6973,SUCCESS,43.4862,Accepted,TRUE
sum-of-distances,1068,1068,92.8144,SUCCESS,47.3056,Accepted,TRUE
minimize-the-maximum-difference-of-pairs,1582,1582,50.1835,SUCCESS,38.5456,Accepted,TRUE
minimum-operations-to-make-all-array-elements-equal,31,31,83.9691,SUCCESS,29.7707,Accepted,TRUE
prime-subtraction-operation,654,654,11.7977,SUCCESS,21.8288,Accepted,TRUE
find-the-divisibility-array-of-a-string,51,51,78.4921,SUCCESS,84.0782,Accepted,TRUE
find-the-maximum-number-of-marked-indices,68,68,46.7067,SUCCESS,32.3354,Accepted,TRUE
minimum-operations-to-reduce-an-integer-to-0,41,41,100,SUCCESS,38.8286,Accepted,TRUE
minimum-score-by-changing-two-elements,70,70,90.5882,SUCCESS,25.8822,Accepted,TRUE
minimum-impossible-or,73,73,98.374,SUCCESS,12.1953,Accepted,TRUE
substring-xor-queries,59,59,13.7248,SUCCESS,45.0976,Accepted,TRUE
count-the-number-of-fair-pairs,55,55,6.6964,SUCCESS,12.7813,Accepted,TRUE
the-number-of-beautiful-subsets,1308,1308,45.3423,SUCCESS,51.447,Accepted,TRUE
find-score-of-an-array-after-marking-all-elements,1044,1044,37.7982,SUCCESS,72.7426,Accepted,TRUE
count-vowel-strings-in-ranges,94,94,78.3295,SUCCESS,76.5238,Accepted,TRUE
house-robber-iv,64,64,86.512,SUCCESS,77.082,Accepted,TRUE
first-completely-painted-row-or-column,1058,1058,92.248,SUCCESS,47.0282,Accepted,TRUE
cousins-in-binary-tree-ii,41,41,53.4441,SUCCESS,93.3491,Accepted,TRUE
find-the-score-of-all-prefixes-of-an-array,43,43,73.8888,SUCCESS,32.222,Accepted,TRUE
maximize-win-from-two-segments,72,72,73.9502,SUCCESS,42.0169,Accepted,TRUE
make-k-subarray-sums-equal,1040,1040,11.1117,SUCCESS,88.889,Accepted,TRUE
find-the-substring-with-maximum-cost,1054,1054,59.6342,SUCCESS,86.6973,Accepted,TRUE
minimum-time-to-repair-cars,1072,1072,81.1238,SUCCESS,82.251,Accepted,TRUE
maximize-greatness-of-an-array,1072,1072,33.2884,SUCCESS,54.8994,Accepted,TRUE
smallest-missing-non-negative-integer-after-operations,1062,1062,70.5042,SUCCESS,57.5542,Accepted,TRUE
count-the-number-of-beautiful-subarrays,114,114,53.7639,SUCCESS,36.5592,Accepted,TRUE
rearrange-array-to-maximize-prefix-score,1071,1071,67.9084,SUCCESS,60.7451,Accepted,TRUE
count-ways-to-group-overlapping-ranges,32,32,30.058,SUCCESS,10.9827,Accepted,TRUE
count-total-number-of-colored-cells,94,94,100,SUCCESS,33.1353,Accepted,TRUE
kth-largest-sum-in-a-binary-tree,51,51,92.9121,SUCCESS,43.1433,Accepted,TRUE
disconnect-path-in-a-binary-matrix-by-at-most-one-flip,55,55,87.8049,SUCCESS,81.301,Accepted,TRUE
maximum-number-of-integers-to-choose-from-a-range-i,208,208,85.3551,SUCCESS,5.0296,Accepted,TRUE
maximum-subsequence-score,28,28,35.4399,SUCCESS,86.3186,Accepted,TRUE
apply-bitwise-operations-to-make-strings-equal,71,71,100,SUCCESS,12.6985,Accepted,TRUE
sort-the-students-by-their-kth-score,33,33,100,SUCCESS,84.2976,Accepted,TRUE
minimize-the-maximum-of-two-arrays,63,63,100,SUCCESS,66.6667,Accepted,TRUE
count-the-number-of-good-subarrays,41,41,70.7684,SUCCESS,93.786,Accepted,TRUE
find-xor-beauty-of-array,32,32,65.4618,SUCCESS,59.0362,Accepted,TRUE
find-consecutive-integers-from-a-data-stream,38,38,89.0108,SUCCESS,6.3183,Accepted,TRUE
maximal-score-after-applying-k-operations,40,40,15.751,SUCCESS,29.6704,Accepted,TRUE
make-number-of-distinct-characters-equal,99,99,32.5306,SUCCESS,59.0361,Accepted,TRUE
closest-prime-numbers-in-range,68,68,16.1327,SUCCESS,87.1401,Accepted,TRUE
distinct-prime-factors-of-product-of-array,81,81,90.345,SUCCESS,90.3448,Accepted,TRUE
difference-between-ones-and-zeros-in-row-and-column,85,85,33.4737,SUCCESS,68.6197,Accepted,TRUE
minimum-operations-to-make-array-equal-ii,68,68,94.3182,SUCCESS,95.4545,Accepted,TRUE
reward-top-k-students,30,30,54.4247,SUCCESS,68.1417,Accepted,TRUE
maximum-tastiness-of-candy-basket,40,40,47.7342,SUCCESS,78.3919,Accepted,TRUE
smallest-value-after-replacing-with-sum-of-prime-factors,209,209,100,SUCCESS,35.4037,Accepted,TRUE
frog-jump-ii,34,34,65.0976,SUCCESS,47.0589,Accepted,TRUE
maximum-star-sum-of-a-graph,25,25,85.849,SUCCESS,51.4149,Accepted,TRUE
design-memory-allocator,109,109,23.2312,SUCCESS,29.4051,Accepted,TRUE
longest-square-streak-in-an-array,92,92,64.5555,SUCCESS,55.3795,Accepted,TRUE
minimum-score-of-a-path-between-two-cities,43,43,82.7734,SUCCESS,75.7659,Accepted,TRUE
divide-players-into-teams-of-equal-skill,89,89,80.1652,SUCCESS,13.6954,Accepted,TRUE
minimum-penalty-for-a-shop,42,42,30.2923,SUCCESS,12.0389,Accepted,TRUE
remove-nodes-from-linked-list,32,32,65.1928,SUCCESS,45.7394,Accepted,TRUE
append-characters-to-string-to-make-subsequence,86,86,90.3382,SUCCESS,20.2899,Accepted,TRUE
minimum-fuel-cost-to-report-to-the-capital,131,131,6.8911,SUCCESS,5.03,Accepted,TRUE
closest-nodes-queries-in-a-binary-search-tree,35,35,15.177,SUCCESS,85.095,Accepted,TRUE
count-ways-to-build-good-strings,36,36,67.7021,SUCCESS,83.0188,Accepted,TRUE
minimum-number-of-operations-to-sort-a-binary-tree-by-level,146,146,50.5088,SUCCESS,16.0894,Accepted,TRUE
number-of-subarrays-with-lcm-equal-to-k,102,102,83.8707,SUCCESS,29.0323,Accepted,TRUE
maximum-sum-of-distinct-subarrays-with-length-k,93,93,35.0124,SUCCESS,63.1607,Accepted,TRUE
words-within-two-edits-of-dictionary,33,33,98.6207,SUCCESS,57.9311,Accepted,TRUE
destroy-sequential-targets,45,45,71.9624,SUCCESS,26.1679,Accepted,TRUE
number-of-subarrays-with-gcd-equal-to-k,87,87,80.3799,SUCCESS,56.9619,Accepted,TRUE
minimum-addition-to-make-integer-beautiful,92,92,100,SUCCESS,16.279,Accepted,TRUE
most-popular-video-creator,86,86,15.1774,SUCCESS,23.2135,Accepted,TRUE
sum-of-number-and-its-reverse,258,258,58.5118,SUCCESS,79.2554,Accepted,TRUE
bitwise-xor-of-all-pairings,42,42,36.1306,SUCCESS,31.7017,Accepted,TRUE
minimize-maximum-of-array,68,68,48.2681,SUCCESS,97.2773,Accepted,TRUE
range-product-queries-of-powers,70,70,13.8882,SUCCESS,84.7221,Accepted,TRUE
find-the-original-array-of-prefix-xor,46,46,84.6045,SUCCESS,65.4645,Accepted,TRUE
longest-uploaded-prefix,24,24,85.714,SUCCESS,12.8568,Accepted,TRUE
partition-string-into-substrings-with-values-at-most-k,56,56,75.7352,SUCCESS,33.8235,Accepted,TRUE
minimize-xor,280,280,100,SUCCESS,62.2785,Accepted,TRUE
maximum-sum-of-an-hourglass,41,41,81.3665,SUCCESS,20.4969,Accepted,TRUE
find-all-good-indices,68,68,65.5399,SUCCESS,37.8372,Accepted,TRUE
longest-subarray-with-maximum-bitwise-and,52,52,65.625,SUCCESS,34.375,Accepted,TRUE
smallest-subarrays-with-maximum-bitwise-or,59,59,65.854,SUCCESS,75.6098,Accepted,TRUE
maximum-matching-of-players-with-trainers,35,35,53.0748,SUCCESS,62.8342,Accepted,TRUE
reverse-odd-levels-of-binary-tree,57,57,86.8746,SUCCESS,55.0451,Accepted,TRUE
length-of-the-longest-alphabetical-continuous-substring,123,123,85.4613,SUCCESS,27.305,Accepted,TRUE
optimal-partition-of-string,62,62,89.4223,SUCCESS,84.9628,Accepted,TRUE
separate-squares-ii,763,763,71.014,SUCCESS,97.1014,Accepted,TRUE
manhattan-distances-of-all-arrangements-of-pieces,919,919,59.615,SUCCESS,26.9227,Accepted,TRUE
count-the-number-of-arrays-with-k-matching-adjacent-elements,809,809,76.5428,SUCCESS,7.4073,Accepted,TRUE
minimum-cost-for-cutting-cake-ii,566,566,67.1875,SUCCESS,50,Accepted,TRUE
find-minimum-diameter-after-merging-two-trees,723,723,11.5816,SUCCESS,40.5163,Accepted,TRUE
peaks-in-array,681,681,97.3684,SUCCESS,30.2627,Accepted,TRUE
find-subarray-with-bitwise-or-closest-to-k,814,814,91.9355,SUCCESS,88.7097,Accepted,TRUE
find-number-of-ways-to-reach-the-k-th-stair,600,600,61.3206,SUCCESS,37.7358,Accepted,TRUE
find-edges-in-shortest-paths,536,536,64.7535,SUCCESS,57.3774,Accepted,TRUE
find-the-median-of-the-uniqueness-array,792,792,90,SUCCESS,15,Accepted,TRUE
distribute-elements-into-two-arrays-ii,784,784,42.8564,SUCCESS,84.2857,Accepted,TRUE
minimum-cost-walk-in-weighted-graph,549,549,98.039,SUCCESS,46.6231,Accepted,TRUE
maximum-strength-of-k-disjoint-subarrays,802,802,22.3898,SUCCESS,22.3887,Accepted,TRUE
find-the-maximum-sum-of-node-values,718,718,87.5954,SUCCESS,62.6944,Accepted,TRUE
count-the-number-of-incremovable-subarrays-ii,840,840,75,SUCCESS,50.9616,Accepted,TRUE
number-of-possible-sets-of-closing-branches,533,533,84.4829,SUCCESS,77.5862,Accepted,TRUE
apply-operations-on-array-to-maximize-sum-of-squares,918,918,78.7879,SUCCESS,87.8788,Accepted,TRUE
count-visited-nodes-in-a-directed-graph,941,941,87.5001,SUCCESS,87.5001,Accepted,TRUE
minimum-edge-reversals-so-every-node-is-reachable,421,421,5.8132,SUCCESS,22.0926,Accepted,TRUE
maximum-number-of-k-divisible-components,736,736,80.9885,SUCCESS,26.2356,Accepted,TRUE
count-k-subsequences-of-a-string-with-maximum-beauty,611,611,47.1696,SUCCESS,83.0188,Accepted,TRUE
maximum-element-sum-of-a-complete-subset-of-indices,663,663,10,SUCCESS,62.5,Accepted,TRUE
maximize-value-of-function-in-a-ball-passing-game,948,948,55.0717,SUCCESS,46.3761,Accepted,TRUE
minimum-operations-to-form-subsequence-with-target-sum,754,754,74.1936,SUCCESS,22.5807,Accepted,TRUE
apply-operations-to-maximize-score,870,870,74.0158,SUCCESS,74.8032,Accepted,TRUE
minimum-time-to-make-array-sum-at-most-x,1274,1274,96.25,SUCCESS,85,Accepted,TRUE
maximum-number-of-groups-with-increasing-length,2027,2027,55.6914,SUCCESS,94.309,Accepted,TRUE
count-paths-that-can-form-a-palindrome-in-a-tree,666,666,51.1116,SUCCESS,20.0006,Accepted,TRUE
maximum-elegance-of-a-k-length-subsequence,2729,2729,80.392,SUCCESS,39.2156,Accepted,TRUE
length-of-the-longest-valid-substring,763,763,66.5473,SUCCESS,74.733,Accepted,TRUE
sum-of-imbalance-numbers-of-all-subarrays,1303,1303,67.5676,SUCCESS,18.919,Accepted,TRUE
robot-collisions,2433,2433,60.7135,SUCCESS,32.8563,Accepted,TRUE
maximum-sum-queries,1415,1415,36.3644,SUCCESS,18.1824,Accepted,TRUE
maximum-strictly-increasing-cells-in-a-matrix,566,566,31.0792,SUCCESS,43.2425,Accepted,TRUE
make-array-empty,514,514,45.9448,SUCCESS,68.9187,Accepted,TRUE
minimize-the-total-price-of-the-trips,407,407,18.8397,SUCCESS,39.1304,Accepted,TRUE
collect-coins-in-a-tree,4986,4986,87.1562,SUCCESS,93.578,Accepted,TRUE
rearranging-fruits,40,40,72.0928,SUCCESS,76.7441,Accepted,TRUE
count-increasing-quadruplets,121,121,14.2864,SUCCESS,5.3575,Accepted,TRUE
design-graph-with-shortest-path-calculator,36,36,64.119,SUCCESS,30.5882,Accepted,TRUE
minimum-time-to-complete-all-tasks,1059,1059,42.633,SUCCESS,54.2105,Accepted,TRUE
count-number-of-possible-root-nodes,51,51,85.8401,SUCCESS,83.1854,Accepted,TRUE
number-of-ways-to-earn-points,63,63,40.9648,SUCCESS,97.5904,Accepted,TRUE
split-the-array-to-make-coprime-products,75,75,5.1763,SUCCESS,22.0973,Accepted,TRUE
check-if-point-is-reachable,60,60,100,SUCCESS,22.5226,Accepted,TRUE
minimum-cost-to-split-an-array,59,59,77.2711,SUCCESS,84.3433,Accepted,TRUE
difference-between-maximum-and-minimum-price-sum,58,58,68.9655,SUCCESS,65.5171,Accepted,TRUE
count-anagrams,41,41,58.0187,SUCCESS,51.415,Accepted,TRUE
number-of-great-partitions,46,46,83.3335,SUCCESS,96.6667,Accepted,TRUE
cycle-length-queries-in-a-tree,27,27,39.3049,SUCCESS,43.2837,Accepted,TRUE
add-edges-to-make-degrees-of-all-nodes-even,52,52,26.8399,SUCCESS,90.0433,Accepted,TRUE
minimum-total-cost-to-make-arrays-unequal,104,104,74.6032,SUCCESS,33.3334,Accepted,TRUE
maximum-number-of-points-from-grid-queries,22,22,84.1169,SUCCESS,75.839,Accepted,TRUE
divide-nodes-into-the-maximum-number-of-groups,57,57,20.1378,SUCCESS,66.9967,Accepted,TRUE
count-palindromic-subsequences,63,63,36.4987,SUCCESS,18.4922,Accepted,TRUE
count-subarrays-with-median-k,45,45,95.8113,SUCCESS,46.5967,Accepted,TRUE
next-greater-element-iv,51,51,85.1283,SUCCESS,63.59,Accepted,TRUE
minimum-number-of-operations-to-make-arrays-similar,32,32,79.5701,SUCCESS,58.6022,Accepted,TRUE
minimum-cost-to-make-array-equal,48,48,89.3835,SUCCESS,64.041,Accepted,TRUE
create-components-with-same-value,43,43,5.6346,SUCCESS,100,Accepted,TRUE
paths-in-matrix-whose-sum-is-divisible-by-k,88,88,44.2541,SUCCESS,67.8163,Accepted,TRUE
number-of-pairs-satisfying-inequality,61,61,93.9999,SUCCESS,92.6667,Accepted,TRUE
maximum-deletions-on-a-string,129,129,63.8291,SUCCESS,85.1063,Accepted,TRUE
number-of-good-paths,134,134,40.1353,SUCCESS,78.9114,Accepted,TRUE
minimum-money-required-before-transactions,56,56,70.9678,SUCCESS,54.8388,Accepted,TRUE
sum-of-prefix-scores-of-strings,38,38,25.3375,SUCCESS,10.4066,Accepted,TRUE
meeting-rooms-iii,81,81,75.4642,SUCCESS,67.6809,Accepted,TRUE
build-a-matrix-with-conditions,53,53,68.9903,SUCCESS,87.0192,Accepted,TRUE
count-special-integers,120,120,100,SUCCESS,81.1881,Accepted,TRUE
minimum-replacements-to-sort-the-array,47,47,63.2074,SUCCESS,74.5282,Accepted,TRUE
maximum-number-of-robots-within-budget,82,82,69.061,SUCCESS,48.7623,Accepted,TRUE
longest-cycle-in-a-graph,81,81,91.3719,SUCCESS,76.3279,Accepted,TRUE
shortest-impossible-sequence-of-rolls,65,65,45.4546,SUCCESS,58.4416,Accepted,TRUE
minimum-deletions-to-make-array-divisible,49,49,34.0785,SUCCESS,80.4469,Accepted,TRUE
subarray-with-elements-greater-than-varying-threshold,68,68,48.2131,SUCCESS,69.6427,Accepted,TRUE
count-the-number-of-ideal-arrays,47,47,47.0484,SUCCESS,18.2068,Accepted,TRUE
minimum-score-after-removals-on-a-tree,65,65,73.5292,SUCCESS,94.1176,Accepted,TRUE
count-subarrays-with-score-less-than-k,167,167,54.8388,SUCCESS,89.2298,Accepted,TRUE
match-substring-after-replacement,116,116,37.0784,SUCCESS,41.573,Accepted,TRUE
naming-a-company,89,89,81.4434,SUCCESS,36.0823,Accepted,TRUE
design-a-text-editor,45,45,63.7865,SUCCESS,29.2059,Accepted,TRUE
booking-concert-tickets-in-groups,97,97,49.9996,SUCCESS,67.4417,Accepted,TRUE
sum-of-total-strength-of-wizards,82,82,31.6374,SUCCESS,79.6612,Accepted,TRUE
longest-path-with-different-adjacent-characters,142,142,94.898,SUCCESS,86.2246,Accepted,TRUE
count-integers-in-intervals,73,73,99.7076,SUCCESS,57.8945,Accepted,TRUE
maximum-score-of-a-node-sequence,75,75,91.9117,SUCCESS,30.1466,Accepted,TRUE
total-appeal-of-a-string,77,77,82.38,SUCCESS,21.5104,Accepted,TRUE
number-of-flowers-in-full-bloom,53,53,93.4153,SUCCESS,78.5603,Accepted,TRUE
sum-of-scores-of-built-strings,150,150,76.6234,SUCCESS,93.5065,Accepted,TRUE
longest-substring-of-one-repeating-character,57,57,78.049,SUCCESS,36.5858,Accepted,TRUE
minimum-white-tiles-after-covering-with-carpets,2706,2706,91.5792,SUCCESS,71.5789,Accepted,TRUE
replace-non-coprime-numbers-in-array,71,71,69.565,SUCCESS,94.2028,Accepted,TRUE
count-array-pairs-divisible-by-k,115,115,70.1287,SUCCESS,87.0129,Accepted,TRUE
minimum-time-to-finish-the-race,58,58,88.5253,SUCCESS,87.4318,Accepted,TRUE
maximum-and-sum-of-array,84,84,9.091,SUCCESS,84.4156,Accepted,TRUE
minimum-time-to-remove-all-cars-containing-illegal-goods,89,89,35.1352,SUCCESS,21.6217,Accepted,TRUE
maximum-good-people-based-on-statements,91,91,25.9242,SUCCESS,55.5554,Accepted,TRUE
minimum-difference-in-sums-after-removal-of-elements,110,110,56.9589,SUCCESS,77.5315,Accepted,TRUE
maximum-running-time-of-n-computers,52,52,11.1889,SUCCESS,54.5455,Accepted,TRUE
earliest-possible-day-of-full-bloom,185,185,96.3856,SUCCESS,72.8917,Accepted,TRUE
number-of-ways-to-divide-a-long-corridor,248,248,70.8865,SUCCESS,32.9115,Accepted,TRUE
maximum-employees-to-be-invited-to-a-meeting,99,99,45.2166,SUCCESS,21.3033,Accepted,TRUE
recover-the-original-array,110,110,23.8622,SUCCESS,52.2726,Accepted,TRUE
minimum-operations-to-make-the-array-k-increasing,90,90,57.9704,SUCCESS,20.2895,Accepted,TRUE
find-all-people-with-secret,56,56,72.3925,SUCCESS,69.325,Accepted,TRUE
valid-arrangement-of-pairs,40,40,75.4624,SUCCESS,93.9812,Accepted,TRUE
stamping-the-grid,77,77,92.4052,SUCCESS,32.9123,Accepted,TRUE
maximum-path-quality-of-a-graph,62,62,81.4389,SUCCESS,54.1666,Accepted,TRUE
check-if-an-original-string-exists-given-two-encoded-strings,215,215,35.2517,SUCCESS,65.4231,Accepted,TRUE
parallel-courses-iii,42,42,98.5469,SUCCESS,93.8461,Accepted,TRUE
second-minimum-time-to-reach-destination,77,77,32.9211,SUCCESS,43.4782,Accepted,TRUE
partition-array-into-two-arrays-to-minimize-sum-difference,201,201,20.8311,SUCCESS,56.9794,Accepted,TRUE
smallest-k-length-subsequence-with-occurrences-of-a-letter,152,152,89.2858,SUCCESS,73.2142,Accepted,TRUE
the-score-of-students-solving-math-expression,274,274,31.708,SUCCESS,78.0488,Accepted,TRUE
smallest-missing-genetic-value-in-each-subtree,68,68,90.9091,SUCCESS,86.3637,Accepted,TRUE
gcd-sort-of-an-array,91,91,77.9663,SUCCESS,77.9663,Accepted,TRUE
number-of-unique-good-subsequences,69,69,82.2786,SUCCESS,62.0253,Accepted,TRUE
the-number-of-good-subsets,92,92,53.8457,SUCCESS,69.2307,Accepted,TRUE
last-day-where-you-can-still-cross,118,118,33.25,SUCCESS,66.75,Accepted,TRUE
find-the-longest-valid-obstacle-course-at-each-position,78,78,50.9711,SUCCESS,64.5634,Accepted,TRUE
count-number-of-special-subsequences,99,99,100,SUCCESS,62.7119,Accepted,TRUE
delete-duplicate-folders-in-system,108,108,93.2584,SUCCESS,58.4268,Accepted,TRUE
maximum-genetic-difference-query,59,59,82.927,SUCCESS,92.683,Accepted,TRUE
painting-a-grid-with-three-different-colors,84,84,26.5343,SUCCESS,82.0956,Accepted,TRUE
merge-bsts-to-create-single-bst,475,475,98.1308,SUCCESS,82.2429,Accepted,TRUE
minimum-space-wasted-from-packaging,42,42,48.052,SUCCESS,11.6884,Accepted,TRUE
minimum-cost-to-change-the-final-value-of-expression,70,70,78.5716,SUCCESS,96.4286,Accepted,TRUE
