slug,total_testcases_fixed,total_correct_fixed,runtime_percentile_fixed,state_fixed,status_msg_fixed,memory_percentile_fixed,processed_fixed
mark-elements-on-array-by-performing-queries,661,0,,SUCCESS,,Time Limit Exceeded,TRUE
assign-elements-to-groups-with-constraints,572,565,,SUCCESS,,Time Limit Exceeded,TRUE
sorted-gcd-pair-queries,721,713,,SUCCESS,,Time Limit Exceeded,TRUE
block-placement-queries,744,738,,SUCCESS,,Time Limit Exceeded,TRUE
count-of-sub-multisets-with-bounded-sum,643,628,,SUCCESS,,Time Limit Exceeded,TRUE
minimum-edge-reversals-so-every-node-is-reachable,421,7,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-non-overlapping-substrings,285,138,,SUCCESS,,Wrong Answer,TRUE
construct-the-minimum-bitwise-array-i,658,11,,SUCCESS,,Wrong Answer,TRUE
minimum-number-of-operations-to-make-elements-in-array-distinct,781,455,,SUCCESS,,Wrong Answer,TRUE
make-array-elements-equal-to-zero,584,561,,SUCCESS,,Wrong Answer,TRUE
shift-distance-between-two-strings,741,199,,SUCCESS,,Wrong Answer,TRUE
recover-the-original-array,110,94,,SUCCESS,,Wrong Answer,TRUE
maximum-employees-to-be-invited-to-a-meeting,99,72,,SUCCESS,,Wrong Answer,TRUE
make-number-of-distinct-characters-equal,99,97,,SUCCESS,,Wrong Answer,TRUE
number-of-possible-sets-of-closing-branches,533,455,,SUCCESS,,Wrong Answer,TRUE
the-number-of-beautiful-subsets,1308,973,,SUCCESS,,Wrong Answer,TRUE
sum-of-imbalance-numbers-of-all-subarrays,1303,145,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-number-of-marked-indices,68,64,,SUCCESS,,Wrong Answer,TRUE
find-the-largest-area-of-square-inside-two-rectangles,661,127,,SUCCESS,,Wrong Answer,TRUE
maximum-difference-between-adjacent-elements-in-a-circular-array,962,540,,SUCCESS,,Wrong Answer,TRUE
fruits-into-baskets-ii,904,471,,SUCCESS,,Wrong Answer,TRUE
length-of-longest-subarray-with-at-most-k-frequency,993,823,,SUCCESS,,Wrong Answer,TRUE
minimum-difference-in-sums-after-removal-of-elements,110,4,,SUCCESS,,Wrong Answer,TRUE
double-a-number-represented-as-a-linked-list,1265,126,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-incremovable-subarrays-ii,840,124,,SUCCESS,,Wrong Answer,TRUE
reward-top-k-students,30,19,,SUCCESS,,Wrong Answer,TRUE
count-array-pairs-divisible-by-k,115,21,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-alloys,731,723,,SUCCESS,,Wrong Answer,TRUE
allocate-mailboxes,69,65,,SUCCESS,,Wrong Answer,TRUE
number-of-ways-to-reconstruct-a-tree,81,59,,SUCCESS,,Wrong Answer,TRUE
find-longest-special-substring-that-occurs-thrice-ii,906,237,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-form-subsequence-with-target-sum,754,731,,SUCCESS,,Wrong Answer,TRUE
minimum-white-tiles-after-covering-with-carpets,2706,70,,SUCCESS,,Wrong Answer,TRUE
apply-operations-to-make-all-array-elements-equal-to-zero,1029,658,,SUCCESS,,Wrong Answer,TRUE
maximum-points-inside-the-square,576,534,,SUCCESS,,Wrong Answer,TRUE
maximum-multiplication-score,675,212,,SUCCESS,,Wrong Answer,TRUE
disconnect-path-in-a-binary-matrix-by-at-most-one-flip,55,19,,SUCCESS,,Wrong Answer,TRUE
properties-graph,668,390,,SUCCESS,,Wrong Answer,TRUE
minimum-number-of-groups-to-create-a-valid-assignment,631,608,,SUCCESS,,Wrong Answer,TRUE
maximum-unique-subarray-sum-after-deletion,927,431,,SUCCESS,,Wrong Answer,TRUE
sum-of-variable-length-subarrays,773,176,,SUCCESS,,Wrong Answer,TRUE
zigzag-grid-traversal-with-skip,840,464,,SUCCESS,,Wrong Answer,TRUE
substring-matching-pattern,969,929,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-array-values-equal-to-k,969,899,,SUCCESS,,Wrong Answer,TRUE
adjacent-increasing-subarrays-detection-i,1422,1223,,SUCCESS,,Wrong Answer,TRUE
find-the-encrypted-string,704,340,,SUCCESS,,Wrong Answer,TRUE
matrix-similarity-after-cyclic-shifts,914,904,,SUCCESS,,Wrong Answer,TRUE
find-the-minimum-amount-of-time-to-brew-potions,744,175,,SUCCESS,,Wrong Answer,TRUE
fruits-into-baskets-iii,740,387,,SUCCESS,,Wrong Answer,TRUE
eat-pizzas,1005,379,,SUCCESS,,Wrong Answer,TRUE
find-minimum-cost-to-remove-array-elements,807,171,,SUCCESS,,Wrong Answer,TRUE
select-k-disjoint-special-substrings,989,897,,SUCCESS,,Wrong Answer,TRUE
maximum-frequency-after-subarray-operation,749,25,,SUCCESS,,Wrong Answer,TRUE
closest-equal-element-queries,614,104,,SUCCESS,,Wrong Answer,TRUE
reschedule-meetings-for-maximum-free-time-ii,695,242,,SUCCESS,,Wrong Answer,TRUE
count-mentions-per-user,673,642,,SUCCESS,,Wrong Answer,TRUE
minimize-the-maximum-edge-weight-of-graph,671,535,,SUCCESS,,Wrong Answer,TRUE
longest-subsequence-with-decreasing-adjacent-difference,586,350,,SUCCESS,,Wrong Answer,TRUE
maximum-coins-from-k-consecutive-bags,605,83,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-make-arrays-identical,955,519,,SUCCESS,,Wrong Answer,TRUE
find-the-lexicographically-largest-string-from-the-box-i,785,240,,SUCCESS,,Wrong Answer,TRUE
maximum-area-rectangle-with-point-constraints-i,1002,981,,SUCCESS,,Wrong Answer,TRUE
check-if-grid-can-be-cut-into-sections,698,622,,SUCCESS,,Wrong Answer,TRUE
digit-operations-to-make-two-integers-equal,573,357,,SUCCESS,,Wrong Answer,TRUE
minimum-array-sum,772,284,,SUCCESS,,Wrong Answer,TRUE
maximum-subarray-sum-with-length-divisible-by-k,661,243,,SUCCESS,,Wrong Answer,TRUE
minimum-time-to-break-locks-i,763,45,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-iii,824,515,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-ii,627,115,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-i,668,294,,SUCCESS,,Wrong Answer,TRUE
find-minimum-time-to-reach-last-room-i,744,7,,SUCCESS,,Wrong Answer,TRUE
maximum-frequency-of-an-element-after-performing-operations-i,635,362,,SUCCESS,,Wrong Answer,TRUE
adjacent-increasing-subarrays-detection-ii,1111,915,,SUCCESS,,Wrong Answer,TRUE
minimum-division-operations-to-make-array-non-decreasing,720,597,,SUCCESS,,Wrong Answer,TRUE
identify-the-largest-outlier-in-an-array,873,699,,SUCCESS,,Wrong Answer,TRUE
find-the-lexicographically-smallest-valid-sequence,905,169,,SUCCESS,,Wrong Answer,TRUE
count-almost-equal-pairs-i,686,480,,SUCCESS,,Wrong Answer,TRUE
reach-end-of-array-with-max-score,626,73,,SUCCESS,,Wrong Answer,TRUE
minimum-number-of-flips-to-make-binary-grid-palindromic-ii,661,57,,SUCCESS,,Wrong Answer,TRUE
find-the-power-of-k-size-subarrays-i,857,838,,SUCCESS,,Wrong Answer,TRUE
maximize-the-total-height-of-unique-towers,583,57,,SUCCESS,,Wrong Answer,TRUE
k-th-largest-perfect-subtree-size-in-binary-tree,766,270,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-numbers-which-are-not-special,855,828,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-operations-to-move-ones-to-the-end,694,148,,SUCCESS,,Wrong Answer,TRUE
count-submatrices-with-equal-frequency-of-x-and-y,770,27,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-valid-subsequence-ii,732,75,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-valid-subsequence-i,951,435,,SUCCESS,,Wrong Answer,TRUE
find-maximum-removals-from-source-string,755,536,,SUCCESS,,Wrong Answer,TRUE
maximize-total-cost-of-alternating-subarrays,692,156,,SUCCESS,,Wrong Answer,TRUE
vowels-game-in-a-string,697,591,,SUCCESS,,Wrong Answer,TRUE
minimum-length-of-string-after-operations,702,475,,SUCCESS,,Wrong Answer,TRUE
lexicographically-minimum-string-after-removing-stars,602,559,,SUCCESS,,Wrong Answer,TRUE
minimum-length-of-anagram-concatenation,560,551,,SUCCESS,,Wrong Answer,TRUE
minimum-array-end,765,50,,SUCCESS,,Wrong Answer,TRUE
apply-operations-to-make-string-empty,697,82,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-number-of-elements-in-subset,731,719,,SUCCESS,,Wrong Answer,TRUE
maximum-points-after-enemy-battles,579,44,,SUCCESS,,Wrong Answer,TRUE
minimum-number-of-coins-for-fruits,578,81,,SUCCESS,,Wrong Answer,TRUE
maximum-xor-product,863,82,,SUCCESS,,Wrong Answer,TRUE
maximum-score-after-applying-operations-on-a-tree,821,1,,SUCCESS,,Wrong Answer,TRUE
find-indices-with-index-and-value-difference-ii,517,430,,SUCCESS,,Wrong Answer,TRUE
apply-operations-to-make-two-strings-equal,729,697,,SUCCESS,,Wrong Answer,TRUE
construct-product-matrix,1566,1182,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-square-free-subsets,44,23,,SUCCESS,,Wrong Answer,TRUE
most-profitable-path-in-a-tree,31,0,,SUCCESS,,Wrong Answer,TRUE
longest-special-path-ii,678,448,,SUCCESS,,Wrong Answer,TRUE
maximize-subarrays-after-removing-one-conflicting-pair,642,0,,SUCCESS,,Wrong Answer,TRUE
maximize-the-distance-between-points-on-a-square,619,324,,SUCCESS,,Wrong Answer,TRUE
lexicographically-smallest-generated-string,739,729,,SUCCESS,,Wrong Answer,TRUE
maximize-the-minimum-game-score,692,21,,SUCCESS,,Wrong Answer,TRUE
length-of-longest-v-shaped-diagonal-segment,561,119,,SUCCESS,,Wrong Answer,TRUE
smallest-substring-with-identical-characters-ii,970,598,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-good-caption,714,5,,SUCCESS,,Wrong Answer,TRUE
minimum-increments-for-target-multiples-in-an-array,590,181,,SUCCESS,,Wrong Answer,TRUE
shortest-matching-substring,795,125,,SUCCESS,,Wrong Answer,TRUE
smallest-substring-with-identical-characters-i,949,487,,SUCCESS,,Wrong Answer,TRUE
longest-special-path,675,260,,SUCCESS,,Wrong Answer,TRUE
count-connected-components-in-lcm-graph,697,462,,SUCCESS,,Wrong Answer,TRUE
maximize-sum-of-weights-after-edge-removals,714,513,,SUCCESS,,Wrong Answer,TRUE
count-non-decreasing-subarrays-after-k-operations,731,318,,SUCCESS,,Wrong Answer,TRUE
minimize-the-maximum-adjacent-element-difference,958,82,,SUCCESS,,Wrong Answer,TRUE
sum-of-good-subsequences,679,44,,SUCCESS,,Wrong Answer,TRUE
maximize-the-number-of-target-nodes-after-connecting-trees-ii,825,4,,SUCCESS,,Wrong Answer,TRUE
maximum-frequency-of-an-element-after-performing-operations-ii,633,338,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-character-frequencies-equal,773,64,,SUCCESS,,Wrong Answer,TRUE
find-the-original-typed-string-ii,846,135,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-subsequences-with-equal-gcd,622,25,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-possible-ways-for-an-event,568,64,,SUCCESS,,Wrong Answer,TRUE
check-if-dfs-strings-are-palindromes,584,208,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-winning-sequences,691,147,,SUCCESS,,Wrong Answer,TRUE
construct-2d-grid-matching-graph-layout,785,343,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-sequence-value-of-array,641,28,,SUCCESS,,Wrong Answer,TRUE
count-substrings-that-can-be-rearranged-to-contain-a-string-ii,760,87,,SUCCESS,,Wrong Answer,TRUE
length-of-the-longest-increasing-path,725,242,,SUCCESS,,Wrong Answer,TRUE
select-cells-in-grid-with-maximum-score,546,465,,SUCCESS,,Wrong Answer,TRUE
maximum-score-of-non-overlapping-intervals,581,573,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-moves-to-kill-all-pawns,692,52,,SUCCESS,,Wrong Answer,TRUE
maximum-xor-score-subarray-queries,635,241,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-good-integers,90,9,,SUCCESS,,Wrong Answer,TRUE
count-almost-equal-pairs-ii,631,428,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-monotonic-pairs-ii,801,375,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-monotonic-pairs-i,801,377,,SUCCESS,,Wrong Answer,TRUE
minimum-amount-of-damage-dealt-to-bob,897,1,,SUCCESS,,Wrong Answer,TRUE
alternating-groups-iii,731,193,,SUCCESS,,Wrong Answer,TRUE
shortest-distance-after-road-addition-queries-ii,644,2,,SUCCESS,,Wrong Answer,TRUE
check-if-the-rectangle-corner-is-reachable,933,571,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-inversions,720,77,,SUCCESS,,Wrong Answer,TRUE
find-the-minimum-area-to-cover-all-ones-ii,661,631,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-array-equal-to-target,554,119,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-a-good-subsequence-ii,551,271,,SUCCESS,,Wrong Answer,TRUE
find-products-of-elements-of-big-array,758,233,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-equalize-array,636,559,,SUCCESS,,Wrong Answer,TRUE
kth-smallest-amount-with-single-denomination-combination,561,376,,SUCCESS,,Wrong Answer,TRUE
maximize-consecutive-elements-in-an-array-after-modification,668,205,,SUCCESS,,Wrong Answer,TRUE
earliest-second-to-mark-indices-ii,510,175,,SUCCESS,,Wrong Answer,TRUE
minimize-or-of-remaining-elements-using-operations,822,3,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-powerful-integers,933,809,,SUCCESS,,Wrong Answer,TRUE
maximize-the-number-of-partitions-after-operations,277,267,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-infection-sequences,1000,477,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-good-partitions,813,30,,SUCCESS,,Wrong Answer,TRUE
count-beautiful-substrings-ii,684,145,,SUCCESS,,Wrong Answer,TRUE
palindrome-rearrangement-queries,1211,891,,SUCCESS,,Wrong Answer,TRUE
apply-operations-to-maximize-frequency-score,774,117,,SUCCESS,,Wrong Answer,TRUE
maximum-points-after-collecting-coins-from-all-nodes,542,231,,SUCCESS,,Wrong Answer,TRUE
string-transformation,726,251,,SUCCESS,,Wrong Answer,TRUE
minimum-changes-to-make-k-semi-palindromes,558,193,,SUCCESS,,Wrong Answer,TRUE
modify-graph-edge-weights,882,223,,SUCCESS,,Wrong Answer,TRUE
subsequence-with-the-minimum-score,54,22,,SUCCESS,,Wrong Answer,TRUE
number-of-beautiful-partitions,74,19,,SUCCESS,,Wrong Answer,TRUE
split-message-based-on-limit,94,86,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-non-overlapping-palindrome-substrings,56,25,,SUCCESS,,Wrong Answer,TRUE
height-of-binary-tree-after-subtree-removal-queries,40,1,,SUCCESS,,Wrong Answer,TRUE
maximum-total-beauty-of-the-gardens,77,18,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-tasks-you-can-assign,49,30,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-ways-to-partition-an-array,178,112,,SUCCESS,,Wrong Answer,TRUE
find-array-given-subset-sums,131,14,,SUCCESS,,Wrong Answer,TRUE
number-of-ways-to-separate-numbers,257,63,,SUCCESS,,Wrong Answer,TRUE
longest-common-subpath,81,68,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-reach-destination-in-time,93,86,,SUCCESS,,Wrong Answer,TRUE
minimum-skips-to-arrive-at-meeting-on-time,61,34,,SUCCESS,,Wrong Answer,TRUE
tree-of-coprimes,37,5,,SUCCESS,,Wrong Answer,TRUE
minimum-adjacent-swaps-for-k-consecutive-ones,117,3,,SUCCESS,,Wrong Answer,TRUE
minimum-initial-energy-to-finish-tasks,42,4,,SUCCESS,,Wrong Answer,TRUE
parallel-courses-ii,82,69,,SUCCESS,,Wrong Answer,TRUE
