slug,total_testcases_analysis,total_correct_analysis,runtime_percentile_analysis,state,status_msg_analysis,result_analysis,processed
minimum-operations-to-make-array-values-equal-to-k,969,899,,SUCCESS,,Wrong Answer,TRUE
adjacent-increasing-subarrays-detection-i,1422,1223,,SUCCESS,,Wrong Answer,TRUE
matrix-similarity-after-cyclic-shifts,914,904,,SUCCESS,,Wrong Answer,TRUE
minimum-right-shifts-to-sort-the-array,814,317,,SUCCESS,,Wrong Answer,TRUE
fruits-into-baskets-iii,740,385,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-copy-arrays,740,740,13.8888,SUCCESS,98.1482,Accepted,TRUE
eat-pizzas,1005,243,,SUCCESS,,Wrong Answer,TRUE
select-k-disjoint-special-substrings,989,956,,SUCCESS,,Wrong Answer,TRUE
assign-elements-to-groups-with-constraints,572,372,,SUCCESS,,Wrong Answer,TRUE
maximum-frequency-after-subarray-operation,749,13,,SUCCESS,,Wrong Answer,TRUE
closest-equal-element-queries,614,0,,SUCCESS,,Runtime Error,TRUE
reschedule-meetings-for-maximum-free-time-ii,695,325,,SUCCESS,,Wrong Answer,TRUE
count-mentions-per-user,673,642,,SUCCESS,,Wrong Answer,TRUE
minimize-the-maximum-edge-weight-of-graph,671,591,,SUCCESS,,Wrong Answer,TRUE
longest-subsequence-with-decreasing-adjacent-difference,586,376,,SUCCESS,,Wrong Answer,TRUE
maximum-coins-from-k-consecutive-bags,605,83,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-make-arrays-identical,955,519,,SUCCESS,,Wrong Answer,TRUE
find-the-lexicographically-largest-string-from-the-box-i,787,240,,SUCCESS,,Wrong Answer,TRUE
maximum-area-rectangle-with-point-constraints-i,1002,981,,SUCCESS,,Wrong Answer,TRUE
check-if-grid-can-be-cut-into-sections,698,616,,SUCCESS,,Wrong Answer,TRUE
digit-operations-to-make-two-integers-equal,573,372,,SUCCESS,,Wrong Answer,TRUE
minimum-array-sum,772,404,,SUCCESS,,Wrong Answer,TRUE
maximum-subarray-sum-with-length-divisible-by-k,661,193,,SUCCESS,,Wrong Answer,TRUE
minimum-time-to-break-locks-i,763,61,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-iii,824,515,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-ii,627,89,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-i,668,294,,SUCCESS,,Wrong Answer,TRUE
find-minimum-time-to-reach-last-room-i,744,2,,SUCCESS,,Wrong Answer,TRUE
maximum-frequency-of-an-element-after-performing-operations-i,635,362,,SUCCESS,,Wrong Answer,TRUE
adjacent-increasing-subarrays-detection-ii,1111,915,,SUCCESS,,Wrong Answer,TRUE
minimum-division-operations-to-make-array-non-decreasing,720,501,,SUCCESS,,Wrong Answer,TRUE
identify-the-largest-outlier-in-an-array,873,142,,SUCCESS,,Wrong Answer,TRUE
find-the-lexicographically-smallest-valid-sequence,905,667,,SUCCESS,,Wrong Answer,TRUE
count-almost-equal-pairs-i,686,480,,SUCCESS,,Wrong Answer,TRUE
reach-end-of-array-with-max-score,626,211,,SUCCESS,,Wrong Answer,TRUE
minimum-number-of-flips-to-make-binary-grid-palindromic-ii,661,68,,SUCCESS,,Wrong Answer,TRUE
find-the-power-of-k-size-subarrays-i,857,838,,SUCCESS,,Wrong Answer,TRUE
maximize-the-total-height-of-unique-towers,583,57,,SUCCESS,,Wrong Answer,TRUE
k-th-largest-perfect-subtree-size-in-binary-tree,766,479,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-numbers-which-are-not-special,855,849,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-operations-to-move-ones-to-the-end,694,148,,SUCCESS,,Wrong Answer,TRUE
count-submatrices-with-equal-frequency-of-x-and-y,770,18,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-valid-subsequence-ii,732,15,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-valid-subsequence-i,951,156,,SUCCESS,,Wrong Answer,TRUE
find-maximum-removals-from-source-string,755,536,,SUCCESS,,Wrong Answer,TRUE
maximize-total-cost-of-alternating-subarrays,692,99,,SUCCESS,,Wrong Answer,TRUE
vowels-game-in-a-string,697,591,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-a-good-subsequence-i,543,311,,SUCCESS,,Wrong Answer,TRUE
minimum-length-of-string-after-operations,702,475,,SUCCESS,,Wrong Answer,TRUE
lexicographically-minimum-string-after-removing-stars,602,559,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-special-characters-ii,896,896,66.8648,SUCCESS,91.716,Accepted,TRUE
minimum-length-of-anagram-concatenation,560,279,,SUCCESS,,Wrong Answer,TRUE
minimum-array-end,765,50,,SUCCESS,,Wrong Answer,TRUE
water-bottles-ii,958,958,14.1592,SUCCESS,40.708,Accepted,TRUE
apply-operations-to-make-string-empty,697,83,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-number-of-elements-in-subset,731,355,,SUCCESS,,Wrong Answer,TRUE
find-if-array-can-be-sorted,999,999,90.184,SUCCESS,15.9509,Accepted,TRUE
minimum-moves-to-capture-the-queen,744,496,,SUCCESS,,Wrong Answer,TRUE
find-longest-special-substring-that-occurs-thrice-i,812,50,,SUCCESS,,Wrong Answer,TRUE
maximum-points-after-enemy-battles,579,44,,SUCCESS,,Wrong Answer,TRUE
maximum-size-of-a-set-after-removals,969,961,,SUCCESS,,Wrong Answer,TRUE
count-subarrays-where-max-element-appears-at-least-k-times,634,104,,SUCCESS,,Wrong Answer,TRUE
distribute-candies-among-children-ii,958,958,63.0281,SUCCESS,75.0271,Accepted,TRUE
separate-black-and-white-balls,581,69,,SUCCESS,,Wrong Answer,TRUE
maximum-xor-product,863,82,,SUCCESS,,Wrong Answer,TRUE
maximum-score-after-applying-operations-on-a-tree,821,0,,SUCCESS,,Wrong Answer,TRUE
find-indices-with-index-and-value-difference-ii,517,430,,SUCCESS,,Wrong Answer,TRUE
minimum-size-subarray-in-infinite-array,535,383,,SUCCESS,,Wrong Answer,TRUE
happy-students,727,0,,SUCCESS,,Wrong Answer,TRUE
apply-operations-to-make-two-strings-equal,729,425,,SUCCESS,,Wrong Answer,TRUE
construct-product-matrix,1566,160,,SUCCESS,,Wrong Answer,TRUE
minimum-additions-to-make-valid-string,1523,394,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-square-free-subsets,44,23,,SUCCESS,,Wrong Answer,TRUE
take-k-of-each-character-from-left-and-right,142,119,,SUCCESS,,Time Limit Exceeded,TRUE
most-profitable-path-in-a-tree,31,0,,SUCCESS,,Wrong Answer,TRUE
longest-special-path-ii,678,351,,SUCCESS,,Wrong Answer,TRUE
maximize-subarrays-after-removing-one-conflicting-pair,642,0,,SUCCESS,,Wrong Answer,TRUE
maximize-the-distance-between-points-on-a-square,619,321,,SUCCESS,,Wrong Answer,TRUE
maximize-the-minimum-game-score,692,21,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-array-elements-zero,646,372,,SUCCESS,,Wrong Answer,TRUE
length-of-longest-v-shaped-diagonal-segment,561,154,,SUCCESS,,Wrong Answer,TRUE
smallest-substring-with-identical-characters-ii,970,91,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-good-caption,714,5,,SUCCESS,,Wrong Answer,TRUE
minimum-increments-for-target-multiples-in-an-array,590,237,,SUCCESS,,Wrong Answer,TRUE
shortest-matching-substring,795,125,,SUCCESS,,Wrong Answer,TRUE
smallest-substring-with-identical-characters-i,949,487,,SUCCESS,,Wrong Answer,TRUE
longest-special-path,675,259,,SUCCESS,,Wrong Answer,TRUE
count-connected-components-in-lcm-graph,697,462,,SUCCESS,,Wrong Answer,TRUE
maximize-sum-of-weights-after-edge-removals,714,513,,SUCCESS,,Wrong Answer,TRUE
count-non-decreasing-subarrays-after-k-operations,731,42,,SUCCESS,,Wrong Answer,TRUE
minimize-the-maximum-adjacent-element-difference,958,60,,SUCCESS,,Wrong Answer,TRUE
sum-of-good-subsequences,679,45,,SUCCESS,,Wrong Answer,TRUE
maximize-the-number-of-target-nodes-after-connecting-trees-ii,825,4,,SUCCESS,,Wrong Answer,TRUE
maximum-frequency-of-an-element-after-performing-operations-ii,633,250,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-character-frequencies-equal,773,64,,SUCCESS,,Wrong Answer,TRUE
find-the-original-typed-string-ii,846,135,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-subsequences-with-equal-gcd,622,25,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-possible-ways-for-an-event,568,64,,SUCCESS,,Wrong Answer,TRUE
check-if-dfs-strings-are-palindromes,584,208,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-winning-sequences,691,147,,SUCCESS,,Wrong Answer,TRUE
sorted-gcd-pair-queries,721,713,,SUCCESS,,Time Limit Exceeded,TRUE
construct-2d-grid-matching-graph-layout,785,90,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-sequence-value-of-array,641,28,,SUCCESS,,Wrong Answer,TRUE
count-substrings-that-can-be-rearranged-to-contain-a-string-ii,760,87,,SUCCESS,,Wrong Answer,TRUE
length-of-the-longest-increasing-path,725,242,,SUCCESS,,Wrong Answer,TRUE
select-cells-in-grid-with-maximum-score,546,465,,SUCCESS,,Wrong Answer,TRUE
maximum-score-of-non-overlapping-intervals,581,573,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-moves-to-kill-all-pawns,692,103,,SUCCESS,,Wrong Answer,TRUE
maximum-xor-score-subarray-queries,635,241,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-good-integers,90,9,,SUCCESS,,Wrong Answer,TRUE
count-almost-equal-pairs-ii,631,429,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-monotonic-pairs-ii,801,375,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-monotonic-pairs-i,801,381,,SUCCESS,,Wrong Answer,TRUE
minimum-amount-of-damage-dealt-to-bob,897,13,,SUCCESS,,Wrong Answer,TRUE
alternating-groups-iii,731,264,,SUCCESS,,Wrong Answer,TRUE
shortest-distance-after-road-addition-queries-ii,644,0,,SUCCESS,,Wrong Answer,TRUE
check-if-the-rectangle-corner-is-reachable,933,565,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-inversions,720,77,,SUCCESS,,Wrong Answer,TRUE
find-the-minimum-area-to-cover-all-ones-ii,661,631,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-array-equal-to-target,554,119,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-a-good-subsequence-ii,551,449,,SUCCESS,,Wrong Answer,TRUE
block-placement-queries,744,425,,SUCCESS,,Wrong Answer,TRUE
find-products-of-elements-of-big-array,758,233,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-equalize-array,636,559,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-subarrays-where-boundary-elements-are-maximum,890,890,59.4196,SUCCESS,73.9128,Accepted,TRUE
kth-smallest-amount-with-single-denomination-combination,561,376,,SUCCESS,,Wrong Answer,TRUE
maximize-consecutive-elements-in-an-array-after-modification,668,97,,SUCCESS,,Wrong Answer,TRUE
earliest-second-to-mark-indices-ii,510,175,,SUCCESS,,Wrong Answer,TRUE
minimize-or-of-remaining-elements-using-operations,822,3,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-powerful-integers,933,809,,SUCCESS,,Wrong Answer,TRUE
maximize-the-number-of-partitions-after-operations,277,267,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-infection-sequences,1000,477,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-good-partitions,813,809,,SUCCESS,,Wrong Answer,TRUE
find-maximum-non-decreasing-array-length,553,60,,SUCCESS,,Wrong Answer,TRUE
count-beautiful-substrings-ii,684,49,,SUCCESS,,Wrong Answer,TRUE
palindrome-rearrangement-queries,1211,891,,SUCCESS,,Wrong Answer,TRUE
apply-operations-to-maximize-frequency-score,774,117,,SUCCESS,,Wrong Answer,TRUE
find-building-where-alice-and-bob-can-meet,953,137,,SUCCESS,,Wrong Answer,TRUE
maximum-points-after-collecting-coins-from-all-nodes,542,231,,SUCCESS,,Wrong Answer,TRUE
count-valid-paths-in-a-tree,922,1,,SUCCESS,,Wrong Answer,TRUE
maximum-spending-after-buying-items,779,313,,SUCCESS,,Wrong Answer,TRUE
count-of-sub-multisets-with-bounded-sum,643,628,,SUCCESS,,Time Limit Exceeded,TRUE
string-transformation,726,0,,SUCCESS,,Runtime Error,TRUE
minimum-changes-to-make-k-semi-palindromes,558,193,,SUCCESS,,Wrong Answer,TRUE
modify-graph-edge-weights,882,223,,SUCCESS,,Wrong Answer,TRUE
subsequence-with-the-minimum-score,54,22,,SUCCESS,,Wrong Answer,TRUE
maximize-the-minimum-powered-city,30,9,,SUCCESS,,Wrong Answer,TRUE
number-of-beautiful-partitions,74,31,,SUCCESS,,Wrong Answer,TRUE
split-message-based-on-limit,94,86,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-non-overlapping-palindrome-substrings,56,10,,SUCCESS,,Wrong Answer,TRUE
height-of-binary-tree-after-subtree-removal-queries,40,0,,SUCCESS,,Wrong Answer,TRUE
longest-increasing-subsequence-ii,84,76,,SUCCESS,,Wrong Answer,TRUE
find-the-k-sum-of-an-array,111,7,,SUCCESS,,Wrong Answer,TRUE
maximum-total-beauty-of-the-gardens,77,43,,SUCCESS,,Wrong Answer,TRUE
count-good-triplets-in-an-array,148,30,,SUCCESS,,Wrong Answer,TRUE
maximum-fruits-harvested-after-at-most-k-steps,202,95,,SUCCESS,,Wrong Answer,TRUE
sequentially-ordinal-rank-tracker,81,0,,SUCCESS,,Runtime Error,TRUE
maximum-number-of-tasks-you-can-assign,49,30,,SUCCESS,,Wrong Answer,TRUE
number-of-valid-move-combinations-on-chessboard,273,205,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-ways-to-partition-an-array,178,178,64.5162,SUCCESS,43.5485,Accepted,TRUE
find-array-given-subset-sums,131,14,,SUCCESS,,Wrong Answer,TRUE
number-of-ways-to-separate-numbers,257,60,,SUCCESS,,Wrong Answer,TRUE
longest-common-subpath,81,68,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-reach-destination-in-time,94,80,,SUCCESS,,Wrong Answer,TRUE
the-earliest-and-latest-rounds-where-players-compete,138,77,,SUCCESS,,Wrong Answer,TRUE
design-movie-rental-system,42,23,,SUCCESS,,Wrong Answer,TRUE
minimum-skips-to-arrive-at-meeting-on-time,61,60,,SUCCESS,,Wrong Answer,TRUE
finding-mk-average,17,7,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-groups-getting-fresh-donuts,74,1,,SUCCESS,,Wrong Answer,TRUE
tree-of-coprimes,37,1,,SUCCESS,,Wrong Answer,TRUE
minimum-adjacent-swaps-for-k-consecutive-ones,117,3,,SUCCESS,,Wrong Answer,TRUE
minimum-initial-energy-to-finish-tasks,42,42,90.099,SUCCESS,83.1683,Accepted,TRUE
maximize-grid-happiness,67,7,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-connect-two-groups-of-points,84,0,,SUCCESS,,Runtime Error,TRUE
parallel-courses-ii,82,69,,SUCCESS,,Wrong Answer,TRUE
probability-of-a-two-boxes-having-the-same-number-of-distinct-balls,21,21,38.2984,SUCCESS,98.9362,Accepted,TRUE
final-value-of-variable-after-performing-operations,,,100,SUCCESS,64.46,Accepted,TRUE
string-compression-ii,,,18.18,SUCCESS,35.23,Accepted,TRUE
type-of-triangle,,,100,SUCCESS,50.02,Accepted,TRUE
range-product-queries-of-powers,,,5.55,SUCCESS,19.84,Accepted,TRUE
maximum-sum-queries,,,67.19,SUCCESS,39.06,Accepted,TRUE
closest-prime-numbers-in-range,,,86.55,SUCCESS,6.02,Accepted,TRUE
divide-an-array-into-subarrays-with-minimum-cost-i,,,,SUCCESS,,Wrong Answer,TRUE
lexicographically-smallest-string-after-operations-with-constraint,,,88.57,SUCCESS,21.9,Accepted,TRUE
substring-with-largest-variance,,,,SUCCESS,,Wrong Answer,TRUE
find-minimum-time-to-finish-all-jobs,,,19.7,SUCCESS,94.92,Accepted,TRUE
number-of-senior-citizens,,,100,SUCCESS,39.01,Accepted,TRUE
neighboring-bitwise-xor,,,28.82,SUCCESS,65.13,Accepted,TRUE
maximum-number-of-achievable-transfer-requests,,,41.48,SUCCESS,42.22,Accepted,TRUE
remove-max-number-of-edges-to-keep-graph-fully-traversable,,,26.58,SUCCESS,67.51,Accepted,TRUE
check-if-the-number-is-fascinating,,,100,SUCCESS,11.97,Accepted,TRUE
make-number-of-distinct-characters-equal,,,,SUCCESS,,Wrong Answer,TRUE
number-of-possible-sets-of-closing-branches,,,42.57,SUCCESS,40.59,Wrong Answer,TRUE
find-x-sum-of-all-k-long-subarrays-i,,,66.29,SUCCESS,83.43,Accepted,TRUE
minimum-sum-of-mountain-triplets-i,,,72.14,SUCCESS,42.5,Accepted,TRUE
difference-of-number-of-distinct-values-on-diagonals,,,40.19,SUCCESS,5.61,Accepted,TRUE
sort-the-students-by-their-kth-score,,,100,SUCCESS,13.59,Accepted,TRUE
minimum-operations-to-write-the-letter-y-on-a-grid,,,84.77,SUCCESS,98.54,Accepted,TRUE
minimum-cost-for-cutting-cake-i,,,100,SUCCESS,47.67,Accepted,TRUE
minimum-time-to-visit-disappearing-nodes,,,91.06,SUCCESS,91.06,Accepted,TRUE
sorting-three-groups,,,44.2,SUCCESS,31.49,Accepted,TRUE
maximum-odd-binary-number,,,34.68,SUCCESS,38.57,Accepted,TRUE
check-if-strings-can-be-made-equal-with-operations-ii,,,63.21,SUCCESS,50.94,Accepted,TRUE
minimum-time-to-visit-a-cell-in-a-grid,,,,SUCCESS,,Wrong Answer,TRUE
find-the-k-th-character-in-string-game-i,,,62.37,SUCCESS,14.87,Accepted,TRUE
process-restricted-friend-requests,,,62.64,SUCCESS,46.15,Accepted,TRUE
extra-characters-in-a-string,,,98.28,SUCCESS,71.14,Accepted,TRUE
lexicographically-smallest-string-after-substring-operation,,,72.02,SUCCESS,16.06,Accepted,TRUE
special-permutations,,,84.82,SUCCESS,55.36,Accepted,TRUE
mice-and-cheese,,,52.75,SUCCESS,22.3,Accepted,TRUE
number-of-increasing-paths-in-a-grid,,,75.54,SUCCESS,70.14,Accepted,TRUE
most-frequent-even-element,,,38.31,SUCCESS,99.49,Accepted,TRUE
minimum-positive-sum-subarray,,,97.92,SUCCESS,23.4,Accepted,TRUE
count-fertile-pyramids-in-a-land,,,61.64,SUCCESS,49.31,Accepted,TRUE
divide-array-into-equal-pairs,,,68.2,SUCCESS,23.32,Accepted,TRUE
goal-parser-interpretation,,,41.89,SUCCESS,23.84,Accepted,TRUE
minimum-number-of-changes-to-make-binary-string-beautiful,,,42.41,SUCCESS,97.91,Accepted,TRUE
sort-matrix-by-diagonals,,,91.67,SUCCESS,47.92,Accepted,TRUE
minimum-cost-for-cutting-cake-ii,,,29.41,SUCCESS,23.53,Accepted,TRUE
partition-string-into-minimum-beautiful-substrings,,,,SUCCESS,,Wrong Answer,TRUE
determine-if-string-halves-are-alike,,,100,SUCCESS,23.6,Accepted,TRUE
gcd-sort-of-an-array,,,94.62,SUCCESS,86.02,Accepted,TRUE
finding-3-digit-even-numbers,,,82.06,SUCCESS,28.84,Accepted,TRUE
hash-divided-string,,,75.08,SUCCESS,75.74,Accepted,TRUE
palindrome-partitioning-iv,,,83.56,SUCCESS,45.21,Accepted,TRUE
minimum-degree-of-a-connected-trio-in-a-graph,,,82.99,SUCCESS,13.61,Accepted,TRUE
check-if-matrix-is-x-matrix,,,31.49,SUCCESS,27.49,Accepted,TRUE
minimum-number-of-operations-to-make-array-continuous,,,92.16,SUCCESS,37.25,Accepted,TRUE
count-pairs-with-xor-in-a-range,,,85.94,SUCCESS,85.94,Accepted,TRUE
max-dot-product-of-two-subsequences,,,49.06,SUCCESS,69.81,Accepted,TRUE
find-polygon-with-the-largest-perimeter,,,73.24,SUCCESS,87.63,Accepted,TRUE
minimum-cost-to-convert-string-i,,,94.91,SUCCESS,90.91,Accepted,TRUE
sum-of-values-at-indices-with-k-set-bits,,,53.68,SUCCESS,55.09,Accepted,TRUE
most-frequent-ids,,,64.77,SUCCESS,64.77,Accepted,TRUE
number-of-rectangles-that-can-form-the-largest-square,,,67.04,SUCCESS,23.27,Accepted,TRUE
minimum-cost-to-cut-a-stick,,,98.58,SUCCESS,82.83,Accepted,TRUE
check-if-there-is-a-valid-parentheses-string-path,,,97.03,SUCCESS,81.19,Accepted,TRUE
next-greater-element-iv,,,32.2,SUCCESS,41.95,Accepted,TRUE
sorting-the-sentence,,,97.55,SUCCESS,66.16,Accepted,TRUE
largest-odd-number-in-string,,,47.53,SUCCESS,62.36,Accepted,TRUE
minimum-element-after-replacement-with-digit-sum,,,58.62,SUCCESS,39.94,Accepted,TRUE
closest-room,,,92.31,SUCCESS,79.94,Accepted,TRUE
find-a-safe-walk-through-a-grid,,,90,SUCCESS,63.031,Accepted,TRUE
checking-existence-of-edge-length-limited-paths,,,94.16,SUCCESS,21.17,Accepted,TRUE
count-subarrays-with-fixed-bounds,,,98.93,SUCCESS,84.72,Accepted,TRUE
count-of-integers,,,44.34,SUCCESS,34.91,Accepted,TRUE
painting-the-walls,,,99.33,SUCCESS,99.33,Accepted,TRUE
minimum-sum-of-mountain-triplets-ii,,,99.01,SUCCESS,54.46,Accepted,TRUE
double-modular-exponentiation,,,100,SUCCESS,32.73,Accepted,TRUE
smallest-divisible-digit-product-ii,,,,SUCCESS,,Wrong Answer,TRUE
minimum-number-of-valid-strings-to-form-target-i,,,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-power-of-k-size-subarrays-ii,,,,SUCCESS,,Time Limit Exceeded,TRUE
check-if-digits-are-equal-in-string-after-operations-ii,,,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-and-minimum-sums-of-at-most-size-k-subarrays,,,,SUCCESS,,Wrong Answer,TRUE
construct-string-with-minimum-cost,,,,SUCCESS,,Time Limit Exceeded,TRUE
number-of-subarrays-that-match-a-pattern-ii,,,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-number-of-ways-to-place-people-ii,,,,SUCCESS,,Time Limit Exceeded,TRUE
divide-an-array-into-subarrays-with-minimum-cost-ii,,,,SUCCESS,,Wrong Answer,TRUE
find-the-encrypted-string,,,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-iv,,,,SUCCESS,,Wrong Answer,TRUE
find-the-minimum-amount-of-time-to-brew-potions,,,,SUCCESS,,Wrong Answer,TRUE
find-minimum-cost-to-remove-array-elements,,,,SUCCESS,,Wrong Answer,TRUE
maximum-and-minimum-sums-of-at-most-size-k-subsequences,,,,SUCCESS,,Wrong Answer,TRUE
find-minimum-time-to-reach-last-room-ii,,,,SUCCESS,,Wrong Answer,TRUE
shortest-distance-after-road-addition-queries-i,,,33.23,SUCCESS,85.58,Accepted,TRUE
replace-question-marks-in-string-to-minimize-its-value,,,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-make-array-equalindromic,,,,SUCCESS,,Wrong Answer,TRUE
minimum-number-of-coins-for-fruits,,,65.7,SUCCESS,84.54,Accepted,TRUE
minimum-cost-of-a-path-with-special-roads,,,,SUCCESS,,Wrong Answer,TRUE
lexicographically-smallest-generated-string,,,,SUCCESS,,Wrong Answer,TRUE
total-characters-in-string-after-transformations-ii,,,,SUCCESS,,Wrong Answer,TRUE
maximum-value-sum-by-placing-three-rooks-ii,,,,SUCCESS,,Wrong Answer,TRUE
count-stepping-numbers-in-range,,,,SUCCESS,,Wrong Answer,TRUE
find-the-string-with-lcp,,,,SUCCESS,,Wrong Answer,TRUE
paint-house-iii,,,,SUCCESS,,Wrong Answer,TRUE
