slug,runtime_percentile_analysis,result_analysis,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed,difficulty_x,difficulty_y
maximum-number-of-points-from-grid-queries,85.8061,Accepted,22,22,84.1169,SUCCESS,75.839,Accepted,TRUE,Hard,Hard
minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,,Wrong Answer,50,50,84.2104,SUCCESS,21.0524,Accepted,TRUE,Hard,Hard
maximum-score-from-performing-multiplication-operations,97.6564,Accepted,,,84.44,,84.44,Accepted,TRUE,Hard,Hard
number-of-possible-sets-of-closing-branches,42.57,Wrong Answer,533,533,84.4829,SUCCESS,77.5862,Accepted,TRUE,Hard,Hard
find-the-original-array-of-prefix-xor,49.7696,Accepted,46,46,84.6045,SUCCESS,65.4645,Accepted,TRUE,Medium,Medium
find-beautiful-indices-in-the-given-array-i,60.625,Accepted,535,535,84.6388,SUCCESS,66.717,Accepted,TRUE,Medium,Medium
shortest-uncommon-substring-in-an-array,65.7899,Accepted,631,631,84.7403,SUCCESS,96.6474,Accepted,TRUE,Medium,Medium
count-ways-to-make-array-with-product,77.0264,Accepted,67,67,84.7677,SUCCESS,48.3443,Accepted,TRUE,Hard,Hard
find-the-number-of-distinct-colors-among-the-balls,99.0087,Accepted,551,551,85.0204,SUCCESS,58.0974,Accepted,TRUE,Medium,Medium
separate-the-digits-in-an-array,27.0317,Accepted,52,52,85.0364,SUCCESS,52.5546,Accepted,TRUE,Easy,Easy
next-greater-element-iv,32.2,Accepted,51,51,85.1283,SUCCESS,63.59,Accepted,TRUE,Hard,Hard
maximum-number-of-integers-to-choose-from-a-range-i,63.1576,Accepted,208,208,85.3551,SUCCESS,5.0296,Accepted,TRUE,Medium,Medium
number-of-different-subsequences-gcds,77.272,Accepted,39,39,85.4169,SUCCESS,79.1668,Accepted,TRUE,Hard,Hard
length-of-the-longest-alphabetical-continuous-substring,74.0724,Accepted,123,123,85.4613,SUCCESS,27.305,Accepted,TRUE,Medium,Medium
longest-uploaded-prefix,86.3632,Accepted,24,24,85.714,SUCCESS,12.8568,Accepted,TRUE,Medium,Medium
count-number-of-possible-root-nodes,79.7617,Accepted,51,51,85.8401,SUCCESS,83.1854,Accepted,TRUE,Hard,Hard
maximum-star-sum-of-a-graph,90.6432,Accepted,25,25,85.849,SUCCESS,51.4149,Accepted,TRUE,Medium,Medium
make-costs-of-paths-equal-in-a-binary-tree,82.6084,Accepted,1565,1565,85.9423,SUCCESS,76.6772,Accepted,TRUE,Medium,Medium
taking-maximum-energy-from-the-mystic-dungeon,80.158,Accepted,533,533,86.2897,SUCCESS,48.3869,Accepted,TRUE,Medium,Medium
minimum-cost-to-convert-string-i,94.91,Accepted,,,86.46,,56.6,Accepted,TRUE,Medium,Medium
house-robber-iv,87.525,Accepted,64,64,86.512,SUCCESS,77.082,Accepted,TRUE,Medium,Medium
minimum-number-of-increments-on-subarrays-to-form-a-target-array,93.1696,Accepted,129,129,86.6346,SUCCESS,31.4009,Accepted,TRUE,Hard,Hard
reverse-odd-levels-of-binary-tree,33.761,Accepted,57,57,86.8746,SUCCESS,55.0451,Accepted,TRUE,Medium,Medium
find-the-k-or-of-an-array,60.5266,Accepted,951,951,86.8851,SUCCESS,91.3934,Accepted,TRUE,Easy,Easy
minimum-changes-to-make-alternating-binary-string,60.5261,Accepted,89,89,87.0564,SUCCESS,62.4217,Accepted,TRUE,Easy,Easy
maximum-or,89.7058,Accepted,1215,1215,87.0588,SUCCESS,11.7647,Accepted,TRUE,Medium,Medium
collect-coins-in-a-tree,87.2215,Accepted,4986,4986,87.1562,SUCCESS,93.578,Accepted,TRUE,Hard,Hard
checking-existence-of-edge-length-limited-paths,94.16,Accepted,,,87.33,,30,Accepted,TRUE,Hard,Hard
count-visited-nodes-in-a-directed-graph,91.045,Accepted,941,941,87.5001,SUCCESS,87.5001,Accepted,TRUE,Hard,Hard
find-the-maximum-sum-of-node-values,61.6477,Accepted,718,718,87.5954,SUCCESS,62.6944,Accepted,TRUE,Hard,Hard
disconnect-path-in-a-binary-matrix-by-at-most-one-flip,100,Accepted,55,55,87.8049,SUCCESS,81.301,Accepted,TRUE,Medium,Medium
sort-matrix-by-diagonals,91.67,Accepted,1306,1306,87.8307,SUCCESS,99.4709,Accepted,TRUE,Medium,Medium
find-a-safe-walk-through-a-grid,90,Accepted,,,87.85,,72.59,Accepted,TRUE,Medium,Medium
count-pairs-with-xor-in-a-range,85.94,Accepted,,,87.88,,69.7,Accepted,TRUE,Hard,Hard
find-a-value-of-a-mysterious-function-closest-to-target,86.2744,Accepted,,,87.93,,75.86,Accepted,TRUE,Hard,Hard
number-of-beautiful-pairs,80.1238,Accepted,3005,3005,88.4619,SUCCESS,10.8974,Accepted,TRUE,Easy,Easy
minimum-time-to-finish-the-race,,Wrong Answer,58,58,88.5253,SUCCESS,87.4318,Accepted,TRUE,Hard,Hard
number-of-ways-to-paint-n-3-grid,74.0195,Accepted,50,50,88.5351,SUCCESS,59.0235,Accepted,TRUE,Hard,Hard
find-consecutive-integers-from-a-data-stream,10.2765,Accepted,38,38,89.0108,SUCCESS,6.3183,Accepted,TRUE,Medium,Medium
minimum-operations-to-make-a-subsequence,30.7693,Accepted,82,82,89.0625,SUCCESS,35.9375,Accepted,TRUE,Hard,Hard
smallest-k-length-subsequence-with-occurrences-of-a-letter,86.2744,Accepted,152,152,89.2858,SUCCESS,73.2142,Accepted,TRUE,Hard,Hard
minimum-cost-to-make-array-equal,,Wrong Answer,48,48,89.3835,SUCCESS,64.041,Accepted,TRUE,Hard,Hard
optimal-partition-of-string,32.5888,Accepted,62,62,89.4223,SUCCESS,84.9628,Accepted,TRUE,Medium,Medium
largest-odd-number-in-string,47.53,Accepted,,,89.63,,20.55,Accepted,TRUE,Easy,Easy
count-of-matches-in-tournament,93.0781,Accepted,200,200,89.6698,SUCCESS,29.5512,Accepted,TRUE,Easy,Easy
minimum-xor-sum-of-two-arrays,82.4426,Accepted,64,64,89.9999,SUCCESS,87.1428,Accepted,TRUE,Hard,Hard
latest-time-you-can-obtain-after-replacing-characters,99.1416,Accepted,908,908,90.1236,SUCCESS,35.3087,Accepted,TRUE,Easy,Easy
maximum-total-reward-using-operations-i,88.3108,Accepted,586,586,90.1513,SUCCESS,84.8484,Accepted,TRUE,Medium,Medium
apply-operations-to-make-all-array-elements-equal-to-zero,93.6843,Accepted,1029,1029,90.3028,SUCCESS,92.1212,Accepted,TRUE,Medium,Medium
append-characters-to-string-to-make-subsequence,97.7778,Accepted,86,86,90.3382,SUCCESS,20.2899,Accepted,TRUE,Medium,Medium
distinct-prime-factors-of-product-of-array,75.7697,Accepted,81,81,90.345,SUCCESS,90.3448,Accepted,TRUE,Medium,Medium
lexicographically-smallest-palindrome,37.5001,Accepted,4519,4519,90.5097,SUCCESS,49.0334,Accepted,TRUE,Easy,Easy
count-the-number-of-houses-at-a-certain-distance-i,89.7262,Accepted,880,880,90.5512,SUCCESS,36.2206,Accepted,TRUE,Medium,Medium
minimum-score-by-changing-two-elements,55.4347,Accepted,70,70,90.5882,SUCCESS,25.8822,Accepted,TRUE,Medium,Medium
properties-graph,5.0256,Accepted,668,668,90.676,SUCCESS,73.3119,Accepted,TRUE,Medium,Medium
prime-pairs-with-target-sum,89.819,Accepted,554,554,90.6784,SUCCESS,5.0851,Accepted,TRUE,Medium,Medium
restore-the-array,84.0702,Accepted,86,86,90.8337,SUCCESS,65.8335,Accepted,TRUE,Hard,Hard
find-the-value-of-the-partition,100,Accepted,806,806,90.9089,SUCCESS,26.6233,Accepted,TRUE,Medium,Medium
smallest-missing-genetic-value-in-each-subtree,89.5834,Accepted,68,68,90.9091,SUCCESS,86.3637,Accepted,TRUE,Hard,Hard
count-prefix-and-suffix-pairs-i,99.3933,Accepted,594,594,90.9546,SUCCESS,39.1959,Accepted,TRUE,Easy,Easy
frequency-tracker,98.0519,Accepted,1118,1118,91.0446,SUCCESS,37.3135,Accepted,TRUE,Medium,Medium
minimum-absolute-difference-between-elements-with-constraint,92.088,Accepted,,,91.1,,64.06,Accepted,TRUE,Medium,Medium
number-of-ways-to-wear-different-hats-to-each-other,96.9388,Accepted,65,65,91.2088,SUCCESS,97.8022,Accepted,TRUE,Hard,Hard
minimum-common-value,88.5013,Accepted,41,41,91.2305,SUCCESS,29.0633,Accepted,TRUE,Easy,Easy
maximum-xor-with-an-element-from-array,92.7761,Accepted,67,67,91.3266,SUCCESS,40.3065,Accepted,TRUE,Hard,Hard
longest-cycle-in-a-graph,97.5712,Accepted,81,81,91.3719,SUCCESS,76.3279,Accepted,TRUE,Hard,Hard
minimum-white-tiles-after-covering-with-carpets,,Wrong Answer,2706,2706,91.5792,SUCCESS,71.5789,Accepted,TRUE,Hard,Hard
count-the-number-of-consistent-strings,52.6815,Accepted,74,74,91.6206,SUCCESS,98.6167,Accepted,TRUE,Easy,Easy
widest-vertical-area-between-two-points-containing-no-points,66.0798,Accepted,55,55,91.6541,SUCCESS,44.7649,Accepted,TRUE,Easy,Easy
maximum-score-of-a-node-sequence,95.2756,Accepted,75,75,91.9117,SUCCESS,30.1466,Accepted,TRUE,Hard,Hard
find-subarray-with-bitwise-or-closest-to-k,84.7827,Accepted,814,814,91.9355,SUCCESS,88.7097,Accepted,TRUE,Hard,Hard
maximum-units-on-a-truck,79.4883,Accepted,77,77,92.0565,SUCCESS,96.4696,Accepted,TRUE,Easy,Easy
subarrays-distinct-element-sum-of-squares-i,98.4064,Accepted,707,707,92.0753,SUCCESS,46.4151,Accepted,TRUE,Easy,Easy
first-completely-painted-row-or-column,59.2789,Accepted,1058,1058,92.248,SUCCESS,47.0282,Accepted,TRUE,Medium,Medium
stamping-the-grid,96.6102,Accepted,77,77,92.4052,SUCCESS,32.9123,Accepted,TRUE,Hard,Hard
find-if-path-exists-in-graph,94.9563,Accepted,34,34,92.6915,SUCCESS,94.3255,Accepted,TRUE,Easy,Easy
sum-of-distances,98.2379,Accepted,1068,1068,92.8144,SUCCESS,47.3056,Accepted,TRUE,Medium,Medium
find-missing-and-repeated-values,68.2905,Accepted,584,584,92.8924,SUCCESS,85.6615,Accepted,TRUE,Easy,Easy
kth-largest-sum-in-a-binary-tree,73.3336,Accepted,51,51,92.9121,SUCCESS,43.1433,Accepted,TRUE,Medium,Medium
decremental-string-concatenation,98.7013,Accepted,1332,1332,93.0555,SUCCESS,94.4444,Accepted,TRUE,Medium,Medium
count-alternating-subarrays,79.7417,Accepted,789,789,93.0771,SUCCESS,31.923,Accepted,TRUE,Medium,Medium
find-the-prefix-common-array-of-two-arrays,76.2811,Accepted,1773,1773,93.1298,SUCCESS,22.3071,Accepted,TRUE,Medium,Medium
delete-duplicate-folders-in-system,97.2222,Accepted,108,108,93.2584,SUCCESS,58.4268,Accepted,TRUE,Hard,Hard
number-of-flowers-in-full-bloom,84.8941,Accepted,53,53,93.4153,SUCCESS,78.5603,Accepted,TRUE,Hard,Hard
maximum-number-of-jumps-to-reach-the-last-index,93.6508,Accepted,2639,2639,93.464,SUCCESS,50.9804,Accepted,TRUE,Medium,Medium
closest-room,92.31,Accepted,43,43,93.4783,SUCCESS,58.6957,Accepted,TRUE,Hard,Hard
delete-greatest-value-in-each-row,90.3141,Accepted,55,55,93.9464,SUCCESS,82.0722,Accepted,TRUE,Easy,Easy
number-of-pairs-satisfying-inequality,65.4409,Accepted,61,61,93.9999,SUCCESS,92.6667,Accepted,TRUE,Hard,Hard
report-spam-message,70.9762,Accepted,526,526,94.0169,SUCCESS,71.7944,Accepted,TRUE,Medium,Medium
minimum-operations-to-make-array-equal-ii,83.5052,Accepted,68,68,94.3182,SUCCESS,95.4545,Accepted,TRUE,Medium,Medium
count-of-integers,44.34,Accepted,,,94.74,,5.15,Accepted,TRUE,Hard,Hard
length-of-the-longest-subsequence-that-sums-to-target,95.9397,Accepted,941,941,94.8121,SUCCESS,89.8585,Accepted,TRUE,Medium,Medium
longest-path-with-different-adjacent-characters,97.7428,Accepted,142,142,94.898,SUCCESS,86.2246,Accepted,TRUE,Hard,Hard
reschedule-meetings-for-maximum-free-time-i,96.4632,Accepted,689,689,95.0179,SUCCESS,75.8007,Accepted,TRUE,Medium,Medium
maximize-palindrome-length-from-subsequences,93.9392,Accepted,109,109,95.0821,SUCCESS,52.4594,Accepted,TRUE,Hard,Hard
get-the-maximum-score,66.4976,Accepted,82,82,95.2381,SUCCESS,38.0951,Accepted,TRUE,Hard,Hard
count-subarrays-with-fixed-bounds,98.93,Accepted,,,95.54,,46.48,Accepted,TRUE,Hard,Hard
count-subarrays-with-median-k,93.9191,Accepted,45,45,95.8113,SUCCESS,46.5967,Accepted,TRUE,Hard,Hard
max-pair-sum-in-an-array,90.625,Accepted,3008,3008,95.9768,SUCCESS,35.9195,Accepted,TRUE,Easy,Easy
minimum-number-of-flips-to-make-binary-grid-palindromic-i,92.126,Accepted,625,625,96,SUCCESS,19.2,Accepted,TRUE,Medium,Medium
largest-local-values-in-a-matrix,68.1565,Accepted,50,50,96.2247,SUCCESS,85.2856,Accepted,TRUE,Easy,Easy
unique-3-digit-even-numbers,95.8384,Accepted,930,930,96.3744,SUCCESS,98.3279,Accepted,TRUE,Easy,Easy
maximum-number-of-visible-points,95.1034,Accepted,119,119,96.3852,SUCCESS,57.1083,Accepted,TRUE,Hard,Hard
earliest-possible-day-of-full-bloom,98.6548,Accepted,185,185,96.3856,SUCCESS,72.8917,Accepted,TRUE,Hard,Hard
find-the-width-of-columns-of-a-grid,,Wrong Answer,50,50,96.4584,SUCCESS,69.7918,Accepted,TRUE,Easy,Easy
minimum-number-of-groups-to-create-a-valid-assignment,93.3334,Accepted,631,631,96.4912,SUCCESS,54.3859,Accepted,TRUE,Medium,Medium
find-polygon-with-the-largest-perimeter,73.24,Accepted,,,97.69,,84.72,Accepted,TRUE,Medium,Medium
painting-the-walls,99.33,Accepted,,,97.73,,71.94,Accepted,TRUE,Hard,Hard
maximum-number-of-fish-in-a-grid,88.081,Accepted,3842,3842,97.7488,SUCCESS,60.6635,Accepted,TRUE,Medium,Medium
form-largest-integer-with-digits-that-add-up-to-target,96.5909,Accepted,96,96,97.9592,SUCCESS,92.8572,Accepted,TRUE,Hard,Hard
minimum-cost-walk-in-weighted-graph,91.6077,Accepted,549,549,98.039,SUCCESS,46.6231,Accepted,TRUE,Hard,Hard
merge-bsts-to-create-single-bst,37.1779,Accepted,475,475,98.1308,SUCCESS,82.2429,Accepted,TRUE,Hard,Hard
minimum-sum-of-mountain-triplets-ii,99.01,Accepted,,,98.34,,74.59,Accepted,TRUE,Medium,Medium
minimum-impossible-or,57.7237,Accepted,73,73,98.374,SUCCESS,12.1953,Accepted,TRUE,Medium,Medium
find-the-distinct-difference-array,42.6569,Accepted,4512,4512,98.3819,SUCCESS,89.9677,Accepted,TRUE,Easy,Easy
rearrange-k-substrings-to-form-target-string,56.7568,Accepted,771,771,98.434,SUCCESS,9.8984,Accepted,TRUE,Medium,Medium
maximum-height-of-a-triangle,70.8331,Accepted,857,857,98.4536,SUCCESS,82.4742,Accepted,TRUE,Easy,Easy
parallel-courses-iii,97.2438,Accepted,42,42,98.5469,SUCCESS,93.8461,Accepted,TRUE,Hard,Hard
maximum-points-tourist-can-earn,,Runtime Error,545,545,98.6014,SUCCESS,90.9091,Accepted,TRUE,Medium,Medium
words-within-two-edits-of-dictionary,26.11,Accepted,33,33,98.6207,SUCCESS,57.9311,Accepted,TRUE,Medium,Medium
check-if-there-is-a-valid-parentheses-string-path,97.03,Accepted,,,98.75,,75,Accepted,TRUE,Hard,Hard
beautiful-towers-ii,96.61,Accepted,785,785,99.0909,SUCCESS,66.3635,Accepted,TRUE,Medium,Medium
maximum-multiplication-score,100,Accepted,675,675,99.115,SUCCESS,54.8667,Accepted,TRUE,Medium,Medium
delete-nodes-from-linked-list-present-in-array,91.4081,Accepted,582,582,99.3884,SUCCESS,82.5688,Accepted,TRUE,Medium,Medium
count-integers-in-intervals,99.0196,Accepted,73,73,99.7076,SUCCESS,57.8945,Accepted,TRUE,Hard,Hard
longest-common-suffix-queries,,Memory Limit Exceeded,817,751,,SUCCESS,,Memory Limit Exceeded,TRUE,Hard,Hard
number-of-strings-which-can-be-rearranged-to-contain-substring,38.5962,Accepted,264,0,,SUCCESS,,Runtime Error,TRUE,Medium,Medium
count-collisions-of-monkeys-on-a-polygon,100,Accepted,83,0,,SUCCESS,,Runtime Error,TRUE,Medium,Medium
maximum-area-rectangle-with-point-constraints-ii,,Wrong Answer,593,1,,SUCCESS,,Runtime Error,TRUE,Hard,Hard
greatest-common-divisor-traversal,,Runtime Error,929,0,,SUCCESS,,Runtime Error,TRUE,Hard,Hard
power-of-heroes,28.7128,Accepted,2584,0,,SUCCESS,,Runtime Error,TRUE,Hard,Hard
maximum-segment-sum-after-removals,,Wrong Answer,42,0,,SUCCESS,,Runtime Error,TRUE,Hard,Hard
abbreviating-the-product-of-a-range,,Runtime Error,292,3,,SUCCESS,,Runtime Error,TRUE,Hard,Hard
sum-of-k-mirror-numbers,9.6273,Accepted,97,0,,SUCCESS,,Runtime Error,TRUE,Hard,Hard
minimum-number-of-days-to-eat-n-oranges,90.3448,Accepted,176,0,,SUCCESS,,Runtime Error,TRUE,Hard,Hard
separate-squares-i,,Time Limit Exceeded,915,564,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
count-special-subsequences,,Time Limit Exceeded,557,543,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
count-beautiful-splits-in-an-array,,Time Limit Exceeded,583,575,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
find-mirror-score-of-a-string,,Time Limit Exceeded,,,,,,Time Limit Exceeded,TRUE,Medium,Medium
maximize-the-number-of-target-nodes-after-connecting-trees-i,,Time Limit Exceeded,817,810,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
construct-the-minimum-bitwise-array-ii,,Wrong Answer,,,,,,Time Limit Exceeded,TRUE,Medium,Medium
find-subtree-sizes-after-changes,,Memory Limit Exceeded,632,631,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
count-of-substrings-containing-every-vowel-and-k-consonants-ii,,Time Limit Exceeded,768,729,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
count-substrings-with-k-frequency-characters-i,5.82,Accepted,,,,,,Time Limit Exceeded,TRUE,Medium,Medium
k-th-nearest-obstacle-queries,,Time Limit Exceeded,591,590,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
alternating-groups-ii,,Time Limit Exceeded,625,531,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
count-the-number-of-substrings-with-dominant-ones,,Time Limit Exceeded,881,855,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
find-the-number-of-good-pairs-ii,55.8442,Accepted,687,683,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
find-all-possible-stable-binary-arrays-i,,Memory Limit Exceeded,670,666,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
shortest-subarray-with-or-at-least-k-ii,,Time Limit Exceeded,718,714,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
find-the-grid-of-region-average,,Time Limit Exceeded,810,792,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
maximum-good-subarray-sum,,Time Limit Exceeded,782,780,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
count-zero-request-servers,27.2639,Accepted,3129,2123,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
increment-submatrices-by-one,,Time Limit Exceeded,31,17,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
count-beautiful-numbers,,Time Limit Exceeded,554,532,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
longest-common-prefix-of-k-strings-after-removal,,Time Limit Exceeded,667,633,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
permutations-iv,,Time Limit Exceeded,999,225,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
subsequences-with-a-unique-middle-mode-i,,Time Limit Exceeded,947,751,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
count-substrings-divisible-by-last-digit,,Time Limit Exceeded,699,683,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
maximize-subarray-sum-after-removing-all-occurrences-of-one-element,,Time Limit Exceeded,660,649,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
count-number-of-balanced-permutations,,Time Limit Exceeded,792,466,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
count-k-reducible-numbers-less-than-n,,Time Limit Exceeded,774,330,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
find-x-sum-of-all-k-long-subarrays-ii,,Time Limit Exceeded,784,776,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
find-the-occurrence-of-first-almost-equal-substring,,Time Limit Exceeded,778,770,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
final-array-state-after-k-multiplication-operations-ii,,Time Limit Exceeded,695,503,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
find-the-largest-palindrome-divisible-by-k,,Time Limit Exceeded,632,133,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
count-substrings-that-satisfy-k-constraint-ii,,Wrong Answer,627,620,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
time-taken-to-mark-all-nodes,,Time Limit Exceeded,804,411,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
number-of-subarrays-with-and-value-of-k,,Time Limit Exceeded,902,893,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
maximum-total-reward-using-operations-ii,,Time Limit Exceeded,583,572,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
maximum-sum-of-subsequence-with-non-adjacent-elements,,Time Limit Exceeded,527,517,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
minimize-manhattan-distances,39.2152,Accepted,537,527,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
minimum-moves-to-pick-k-ones,,Time Limit Exceeded,825,821,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
count-the-number-of-houses-at-a-certain-distance-ii,,Time Limit Exceeded,549,505,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
count-prefix-and-suffix-pairs-ii,,Time Limit Exceeded,597,591,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
find-beautiful-indices-in-the-given-array-ii,,Time Limit Exceeded,238,231,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
minimum-time-to-revert-word-to-initial-state-ii,,Time Limit Exceeded,911,898,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
find-number-of-coins-to-place-in-tree-nodes,,Time Limit Exceeded,614,612,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
maximum-strong-pair-xor-ii,,Time Limit Exceeded,349,237,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
subarrays-distinct-element-sum-of-squares-ii,,Time Limit Exceeded,,,,,,Time Limit Exceeded,TRUE,Hard,Hard
minimum-edge-weight-equilibrium-queries-in-a-tree,,Time Limit Exceeded,733,727,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
find-a-good-subset-of-the-matrix,,Time Limit Exceeded,685,682,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
minimum-reverse-operations,,Time Limit Exceeded,711,698,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
handling-sum-queries-after-update,,Time Limit Exceeded,77,73,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
groups-of-strings,,Time Limit Exceeded,97,95,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
kth-smallest-product-of-two-sorted-arrays,,Time Limit Exceeded,112,98,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
find-servers-that-handled-most-number-of-requests,,Time Limit Exceeded,108,100,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
stone-game-v,,Time Limit Exceeded,132,131,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
maximum-unique-subarray-sum-after-deletion,,Wrong Answer,927,431,,SUCCESS,,Wrong Answer,TRUE,Easy,Easy
sum-of-variable-length-subarrays,,Wrong Answer,773,176,,SUCCESS,,Wrong Answer,TRUE,Easy,Easy
zigzag-grid-traversal-with-skip,,Wrong Answer,840,464,,SUCCESS,,Wrong Answer,TRUE,Easy,Easy
substring-matching-pattern,,Wrong Answer,969,866,,SUCCESS,,Wrong Answer,TRUE,Easy,Easy
smallest-number-with-all-set-bits,19.8966,Accepted,608,599,,SUCCESS,,Wrong Answer,TRUE,Easy,Easy
stone-removal-game,,Wrong Answer,53,27,,SUCCESS,,Wrong Answer,TRUE,Easy,Easy
minimum-operations-to-make-array-values-equal-to-k,,Wrong Answer,969,899,,SUCCESS,,Wrong Answer,TRUE,Easy,Easy
adjacent-increasing-subarrays-detection-i,,Wrong Answer,1422,1223,,SUCCESS,,Wrong Answer,TRUE,Easy,Easy
matrix-similarity-after-cyclic-shifts,,Wrong Answer,914,904,,SUCCESS,,Wrong Answer,TRUE,Easy,Easy
minimum-right-shifts-to-sort-the-array,,Wrong Answer,814,317,,SUCCESS,,Wrong Answer,TRUE,Easy,Easy
fruits-into-baskets-iii,,Wrong Answer,740,385,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-the-number-of-copy-arrays,13.8888,Accepted,740,530,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
eat-pizzas,,Wrong Answer,1005,140,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
select-k-disjoint-special-substrings,,Wrong Answer,989,791,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
assign-elements-to-groups-with-constraints,,Wrong Answer,572,367,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
maximum-frequency-after-subarray-operation,,Wrong Answer,749,13,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
closest-equal-element-queries,,Runtime Error,614,343,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
reschedule-meetings-for-maximum-free-time-ii,,Wrong Answer,695,12,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
count-mentions-per-user,,Wrong Answer,673,642,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimize-the-maximum-edge-weight-of-graph,,Wrong Answer,671,591,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
longest-subsequence-with-decreasing-adjacent-difference,,Wrong Answer,586,377,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
maximum-coins-from-k-consecutive-bags,,Wrong Answer,605,83,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-cost-to-make-arrays-identical,,Wrong Answer,955,208,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-the-lexicographically-largest-string-from-the-box-i,,Wrong Answer,785,240,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
maximum-area-rectangle-with-point-constraints-i,,Wrong Answer,1002,981,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
check-if-grid-can-be-cut-into-sections,,Wrong Answer,698,616,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
digit-operations-to-make-two-integers-equal,,Wrong Answer,573,372,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-array-sum,,Wrong Answer,772,404,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
maximum-subarray-sum-with-length-divisible-by-k,,Wrong Answer,661,193,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-time-to-break-locks-i,,Wrong Answer,763,62,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
