slug,code,radon
taking-maximum-energy-from-the-mystic-dungeon,"```python
from typing import List

class Solution:
    def maximumEnergy(self, energy: List[int], k: int) -> int:
        n = len(energy)
        max_energy = -float('inf')
        
        for i in range(n - 1, n - k - 1, -1):
            current_sum = 0
            for j in range(i, -1, -k):
                current_sum += energy[j]
                if current_sum > max_energy:
                    max_energy = current_sum
        
        return max_energy
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 3}, {'name': 'maximumEnergy', 'complexity': 4, 'lineno': 4}], 'maintainability_index': 61.61062035892816, 'raw_metrics': {'loc': 13, 'lloc': 13, 'sloc': 13, 'comments': 0}}"
minimum-total-cost-to-make-arrays-unequal,"```python
from collections import defaultdict

class Solution:
    def minimumTotalCost(self, nums1: List[int], nums2: List[int]) -> int:
        n = len(nums1)
        swap_indices = []
        freq = defaultdict(int)
        total_cost = 0
        max_freq_val = -1
        max_freq = 0
        
        for i in range(n):
            if nums1[i] == nums2[i]:
                swap_indices.append(i)
                val = nums1[i]
                freq[val] += 1
                if freq[val] > max_freq:
                    max_freq = freq[val]
                    max_freq_val = val
        
        if not swap_indices:
            return 0
        
        required = 2 * max_freq - len(swap_indices)
        if required <= 0:
            return sum(swap_indices)
        
        extra_needed = required
        for i in range(n):
            if nums1[i] != nums2[i] and nums1[i] != max_freq_val and nums2[i] != max_freq_val:
                swap_indices.append(i)
                extra_needed -= 1
                if extra_needed == 0:
                    break
        
        if extra_needed > 0:
            return -1
        
        return sum(swap_indices)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 13, 'lineno': 3}, {'name': 'minimumTotalCost', 'complexity': 12, 'lineno': 4}], 'maintainability_index': 48.617789746486615, 'raw_metrics': {'loc': 33, 'lloc': 33, 'sloc': 33, 'comments': 0}}"
maximize-win-from-two-segments,"```python
from typing import List

class Solution:
    def maximizeWin(self, prizePositions: List[int], k: int) -> int:
        n = len(prizePositions)
        if n == 0:
            return 0
        
        left = 0
        dp = [0] * (n + 1)
        res = 0
        
        for right in range(n):
            while prizePositions[right] - prizePositions[left] > k:
                left += 1
            current_prizes = right - left + 1
            dp[right + 1] = max(dp[right], current_prizes)
            res = max(res, current_prizes + dp[left])
        
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 3}, {'name': 'maximizeWin', 'complexity': 4, 'lineno': 4}], 'maintainability_index': 57.74519011526702, 'raw_metrics': {'loc': 17, 'lloc': 17, 'sloc': 17, 'comments': 0}}"
naming-a-company,"```python
from collections import defaultdict
from typing import List

class Solution:
    def distinctNames(self, ideas: List[str]) -> int:
        initial_groups = defaultdict(set)
        for idea in ideas:
            initial = idea[0]
            suffix = idea[1:]
            initial_groups[initial].add(suffix)
        
        initials = list(initial_groups.keys())
        res = 0
        n = len(initials)
        
        for i in range(n):
            set1 = initial_groups[initials[i]]
            for j in range(i + 1, n):
                set2 = initial_groups[initials[j]]
                common = len(set1 & set2)
                res += 2 * (len(set1) - common) * (len(set2) - common)
        
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 4}, {'name': 'distinctNames', 'complexity': 4, 'lineno': 5}], 'maintainability_index': 56.94503667652937, 'raw_metrics': {'loc': 20, 'lloc': 21, 'sloc': 20, 'comments': 0}}"
hash-divided-string,"```python
class Solution:
    def stringHash(self, s: str, k: int) -> str:
        result = []
        n = len(s)
        for i in range(0, n, k):
            substring = s[i:i+k]
            total = sum(ord(c) - ord('a') for c in substring)
            hashed_char = chr(ord('a') + (total % 26))
            result.append(hashed_char)
        return ''.join(result)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 1}, {'name': 'stringHash', 'complexity': 3, 'lineno': 2}], 'maintainability_index': 65.414526095638, 'raw_metrics': {'loc': 10, 'lloc': 11, 'sloc': 10, 'comments': 0}}"
paths-in-matrix-whose-sum-is-divisible-by-k,"```python
class Solution:
    def numberOfPaths(self, grid: List[List[int]], k: int) -> int:
        m, n = len(grid), len(grid[0])
        MOD = 10**9 + 7
        
        dp = [[[0] * k for _ in range(n)] for __ in range(m)]
        dp[0][0][grid[0][0] % k] = 1
        
        for i in range(m):
            for j in range(n):
                if i == 0 and j == 0:
                    continue
                current_val = grid[i][j]
                for rem in range(k):
                    new_rem = (rem + current_val) % k
                    if i > 0:
                        dp[i][j][new_rem] += dp[i-1][j][rem]
                    if j > 0:
                        dp[i][j][new_rem] += dp[i][j-1][rem]
                    dp[i][j][new_rem] %= MOD
        
        return dp[m-1][n-1][0]
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 11, 'lineno': 2}, {'name': 'numberOfPaths', 'complexity': 10, 'lineno': 3}], 'maintainability_index': 53.11540525241743, 'raw_metrics': {'loc': 20, 'lloc': 20, 'sloc': 20, 'comments': 0}}"
minimum-time-to-finish-the-race,"```python
class Solution:
    def minimumFinishTime(self, tires: List[List[int]], changeTime: int, numLaps: int) -> int:
        max_consecutive_laps = 0
        min_time_no_change = [float('inf')] * (numLaps + 1)
        
        for f, r in tires:
            total = 0
            time = f
            for lap in range(1, numLaps + 1):
                total += time
                if total >= (1 << 20):  # Prevent overflow and early termination
                    break
                if total < min_time_no_change[lap]:
                    min_time_no_change[lap] = total
                time *= r
        
        dp = [float('inf')] * (numLaps + 1)
        dp[0] = 0
        
        for lap in range(1, numLaps + 1):
            for prev_laps in range(max(0, lap - 20), lap):
                current_time = dp[prev_laps] + changeTime + min_time_no_change[lap - prev_laps]
                if current_time < dp[lap]:
                    dp[lap] = current_time
        
        return dp[numLaps] - changeTime  # Subtract the initial changeTime which is not needed
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 9, 'lineno': 2}, {'name': 'minimumFinishTime', 'complexity': 8, 'lineno': 3}], 'maintainability_index': 69.16202908756576, 'raw_metrics': {'loc': 23, 'lloc': 23, 'sloc': 23, 'comments': 2}}"
design-a-text-editor,"```python
class TextEditor:

    def __init__(self):
        self.left = []
        self.right = []

    def addText(self, text: str) -> None:
        for c in text:
            self.left.append(c)

    def deleteText(self, k: int) -> int:
        deleted = 0
        while k > 0 and self.left:
            self.left.pop()
            deleted += 1
            k -= 1
        return deleted

    def cursorLeft(self, k: int) -> str:
        while k > 0 and self.left:
            self.right.append(self.left.pop())
            k -= 1
        return ''.join(self.left[-10:])

    def cursorRight(self, k: int) -> str:
        while k > 0 and self.right:
            self.left.append(self.right.pop())
            k -= 1
        return ''.join(self.left[-10:])
```","{'cyclomatic_complexity': [{'name': 'TextEditor', 'complexity': 3, 'lineno': 1}, {'name': '__init__', 'complexity': 1, 'lineno': 2}, {'name': 'addText', 'complexity': 2, 'lineno': 5}, {'name': 'deleteText', 'complexity': 3, 'lineno': 8}, {'name': 'cursorLeft', 'complexity': 3, 'lineno': 15}, {'name': 'cursorRight', 'complexity': 3, 'lineno': 20}], 'maintainability_index': 52.07216536625173, 'raw_metrics': {'loc': 24, 'lloc': 26, 'sloc': 24, 'comments': 0}}"
number-of-ways-to-reorder-array-to-get-same-bst,"```python
import math
from typing import List

class Solution:
    def numOfWays(self, nums: List[int]) -> int:
        mod = 10**9 + 7
        
        def dfs(nums):
            if len(nums) <= 2:
                return 1
            root = nums[0]
            left = [x for x in nums if x < root]
            right = [x for x in nums if x > root]
            m = len(left)
            n = len(right)
            left_ways = dfs(left)
            right_ways = dfs(right)
            return math.comb(m + n, m) * left_ways * right_ways % mod
        
        return (dfs(nums) - 1) % mod
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 2, 'lineno': 4}, {'name': 'numOfWays', 'complexity': 1, 'lineno': 5}], 'maintainability_index': 56.94115420777981, 'raw_metrics': {'loc': 18, 'lloc': 18, 'sloc': 18, 'comments': 0}}"
number-of-ways-to-divide-a-long-corridor,"```python
class Solution:
    def numberOfWays(self, corridor: str) -> int:
        MOD = 10**9 + 7
        seats = []
        for i, c in enumerate(corridor):
            if c == 'S':
                seats.append(i)
        if len(seats) % 2 != 0 or len(seats) == 0:
            return 0
        if len(seats) == 2:
            return 1
        res = 1
        for i in range(1, len(seats) // 2):
            res *= (seats[2*i] - seats[2*i - 1])
            res %= MOD
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 8, 'lineno': 1}, {'name': 'numberOfWays', 'complexity': 7, 'lineno': 2}], 'maintainability_index': 56.18733368903657, 'raw_metrics': {'loc': 16, 'lloc': 16, 'sloc': 16, 'comments': 0}}"
find-longest-special-substring-that-occurs-thrice-ii,"```python
class Solution:
    def maximumLength(self, s: str) -> int:
        from collections import defaultdict

        char_length_counts = defaultdict(list)
        
        n = len(s)
        if n < 3:
            return -1
        
        current_char = s[0]
        current_length = 1
        
        for i in range(1, n):
            if s[i] == current_char:
                current_length += 1
            else:
                for l in range(1, current_length + 1):
                    char_length_counts[current_char].append(l)
                current_char = s[i]
                current_length = 1
        
        for l in range(1, current_length + 1):
            char_length_counts[current_char].append(l)
        
        max_len = -1
        
        for char in char_length_counts:
            lengths = char_length_counts[char]
            if len(lengths) < 3:
                continue
            lengths.sort(reverse=True)
            candidate = lengths[2]
            if candidate > max_len:
                max_len = candidate
        
        return max_len
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 10, 'lineno': 1}, {'name': 'maximumLength', 'complexity': 9, 'lineno': 2}], 'maintainability_index': 52.900346675577495, 'raw_metrics': {'loc': 29, 'lloc': 29, 'sloc': 29, 'comments': 0}}"
palindrome-partitioning-iv,"```python
class Solution:
    def checkPartitioning(self, s: str) -> bool:
        n = len(s)
        dp = [[False] * n for _ in range(n)]
        
        for i in range(n-1, -1, -1):
            for j in range(i, n):
                if s[i] == s[j]:
                    if j - i <= 2 or dp[i+1][j-1]:
                        dp[i][j] = True
        
        for i in range(1, n-1):
            for j in range(i, n-1):
                if dp[0][i-1] and dp[i][j] and dp[j+1][n-1]:
                    return True
        return False
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 13, 'lineno': 1}, {'name': 'checkPartitioning', 'complexity': 12, 'lineno': 2}], 'maintainability_index': 56.99555139005542, 'raw_metrics': {'loc': 14, 'lloc': 14, 'sloc': 14, 'comments': 0}}"
subarrays-distinct-element-sum-of-squares-i,"```python
class Solution:
    def sumCounts(self, nums: List[int]) -> int:
        total = 0
        n = len(nums)
        for i in range(n):
            distinct = set()
            for j in range(i, n):
                distinct.add(nums[j])
                total += len(distinct) ** 2
        return total
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 2}, {'name': 'sumCounts', 'complexity': 3, 'lineno': 3}], 'maintainability_index': 68.40845037051814, 'raw_metrics': {'loc': 11, 'lloc': 11, 'sloc': 11, 'comments': 0}}"
maximize-palindrome-length-from-subsequences,"```python
class Solution:
    def longestPalindrome(self, word1: str, word2: str) -> int:
        s = word1 + word2
        n = len(s)
        m1 = len(word1)
        dp = [[0] * n for _ in range(n)]
        max_len = 0
        
        for i in range(n-1, -1, -1):
            dp[i][i] = 1
            for j in range(i+1, n):
                if s[i] == s[j]:
                    dp[i][j] = 2 + dp[i+1][j-1] if i+1 <= j-1 else 2
                    if i < m1 and j >= m1:
                        max_len = max(max_len, dp[i][j])
                else:
                    dp[i][j] = max(dp[i+1][j], dp[i][j-1])
        
        return max_len
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 9, 'lineno': 1}, {'name': 'longestPalindrome', 'complexity': 8, 'lineno': 2}], 'maintainability_index': 55.263533326332485, 'raw_metrics': {'loc': 17, 'lloc': 17, 'sloc': 17, 'comments': 0}}"
minimum-degree-of-a-connected-trio-in-a-graph,"```python
class Solution:
    def minTrioDegree(self, n: int, edges: List[List[int]]) -> int:
        graph = [set() for _ in range(n + 1)]
        degree = [0] * (n + 1)
        
        for u, v in edges:
            graph[u].add(v)
            graph[v].add(u)
            degree[u] += 1
            degree[v] += 1
        
        min_degree = float('inf')
        
        for u in range(1, n + 1):
            neighbors = graph[u]
            for v in neighbors:
                if v <= u:
                    continue
                common_neighbors = neighbors & graph[v]
                for w in common_neighbors:
                    if w <= v:
                        continue
                    trio_degree = degree[u] + degree[v] + degree[w] - 6
                    if trio_degree < min_degree:
                        min_degree = trio_degree
                        if min_degree == 0:
                            return 0
        
        return min_degree if min_degree != float('inf') else -1
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 12, 'lineno': 2}, {'name': 'minTrioDegree', 'complexity': 11, 'lineno': 3}], 'maintainability_index': 50.974700676308196, 'raw_metrics': {'loc': 26, 'lloc': 26, 'sloc': 26, 'comments': 0}}"
find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,"```python
import heapq

class Solution:
    def kthSmallest(self, mat: List[List[int]], k: int) -> int:
        m = len(mat)
        n = len(mat[0]) if m > 0 else 0
        
        min_heap = []
        initial_sum = sum(row[0] for row in mat)
        indices = tuple([0] * m)
        heapq.heappush(min_heap, (initial_sum, indices))
        
        visited = set()
        visited.add(indices)
        
        count = 0
        while min_heap and count < k:
            current_sum, current_indices = heapq.heappop(min_heap)
            count += 1
            if count == k:
                return current_sum
            
            for i in range(m):
                if current_indices[i] + 1 < n:
                    new_indices = list(current_indices)
                    new_indices[i] += 1
                    new_indices_tuple = tuple(new_indices)
                    if new_indices_tuple not in visited:
                        new_sum = current_sum - mat[i][current_indices[i]] + mat[i][new_indices[i]]
                        heapq.heappush(min_heap, (new_sum, new_indices_tuple))
                        visited.add(new_indices_tuple)
        
        return -1
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 10, 'lineno': 3}, {'name': 'kthSmallest', 'complexity': 9, 'lineno': 4}], 'maintainability_index': 51.28370708355488, 'raw_metrics': {'loc': 28, 'lloc': 28, 'sloc': 28, 'comments': 0}}"
find-common-elements-between-two-arrays,"```python
class Solution:
    def findIntersectionValues(self, nums1: List[int], nums2: List[int]) -> List[int]:
        set1 = set(nums1)
        set2 = set(nums2)
        answer1 = sum(1 for num in nums1 if num in set2)
        answer2 = sum(1 for num in nums2 if num in set1)
        return [answer1, answer2]
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 2}, {'name': 'findIntersectionValues', 'complexity': 5, 'lineno': 3}], 'maintainability_index': 71.93656868180646, 'raw_metrics': {'loc': 8, 'lloc': 8, 'sloc': 8, 'comments': 0}}"
sum-of-matrix-after-queries,"```python
class Solution:
    def matrixSumQueries(self, n: int, queries: List[List[int]]) -> int:
        row_seen = set()
        col_seen = set()
        total = 0
        row_sum = 0
        col_sum = 0
        for type_i, index_i, val_i in reversed(queries):
            if type_i == 0:  # row operation
                if index_i not in row_seen:
                    row_seen.add(index_i)
                    cnt = n - len(col_seen)
                    total += cnt * val_i
            else:  # column operation
                if index_i not in col_seen:
                    col_seen.add(index_i)
                    cnt = n - len(row_seen)
                    total += cnt * val_i
        return total
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 2}, {'name': 'matrixSumQueries', 'complexity': 5, 'lineno': 3}], 'maintainability_index': 74.26522954813797, 'raw_metrics': {'loc': 20, 'lloc': 20, 'sloc': 20, 'comments': 2}}"
find-a-value-of-a-mysterious-function-closest-to-target,"```python
class Solution:
    def closestToTarget(self, arr: List[int], target: int) -> int:
        result = float('inf')
        current_ands = set()
        
        for num in arr:
            next_ands = set()
            next_ands.add(num)
            for val in current_ands:
                next_ands.add(val & num)
            for val in next_ands:
                result = min(result, abs(val - target))
            current_ands = next_ands
        
        return result
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 2}, {'name': 'closestToTarget', 'complexity': 4, 'lineno': 3}], 'maintainability_index': 66.31558646638672, 'raw_metrics': {'loc': 14, 'lloc': 14, 'sloc': 14, 'comments': 0}}"
neither-minimum-nor-maximum,"```python
from typing import List

class Solution:
    def findNonMinOrMax(self, nums: List[int]) -> int:
        if len(nums) <= 2:
            return -1
        min_val = min(nums)
        max_val = max(nums)
        for num in nums:
            if num != min_val and num != max_val:
                return num
        return -1
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 3}, {'name': 'findNonMinOrMax', 'complexity': 5, 'lineno': 4}], 'maintainability_index': 63.337989032317644, 'raw_metrics': {'loc': 12, 'lloc': 12, 'sloc': 12, 'comments': 0}}"
minimum-processing-time,"```python
from typing import List

class Solution:
    def minProcessingTime(self, processorTime: List[int], tasks: List[int]) -> int:
        processorTime.sort()
        tasks.sort(reverse=True)
        max_time = 0
        for i in range(len(processorTime)):
            start_time = processorTime[i]
            current_max = start_time + tasks[4*i]
            if current_max > max_time:
                max_time = current_max
            current_max = start_time + tasks[4*i + 1]
            if current_max > max_time:
                max_time = current_max
            current_max = start_time + tasks[4*i + 2]
            if current_max > max_time:
                max_time = current_max
            current_max = start_time + tasks[4*i + 3]
            if current_max > max_time:
                max_time = current_max
        return max_time
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 7, 'lineno': 3}, {'name': 'minProcessingTime', 'complexity': 6, 'lineno': 4}], 'maintainability_index': 53.85695757122587, 'raw_metrics': {'loc': 22, 'lloc': 22, 'sloc': 22, 'comments': 0}}"
sum-of-digit-differences-of-all-pairs,"```python
from typing import List

class Solution:
    def sumDigitDifferences(self, nums: List[int]) -> int:
        digit_counts = []
        num_strs = [str(num) for num in nums]
        length = len(num_strs[0])
        
        for i in range(length):
            freq = {}
            for num in num_strs:
                d = num[i]
                freq[d] = freq.get(d, 0) + 1
            digit_counts.append(freq)
        
        total = 0
        n = len(nums)
        for i in range(length):
            freq = digit_counts[i]
            s = 0
            for count in freq.values():
                s += count * (n - count)
            total += s // 2
        
        return total
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 7, 'lineno': 3}, {'name': 'sumDigitDifferences', 'complexity': 6, 'lineno': 4}], 'maintainability_index': 56.91995243559548, 'raw_metrics': {'loc': 22, 'lloc': 22, 'sloc': 22, 'comments': 0}}"
longest-path-with-different-adjacent-characters,"```python
from typing import List

class Solution:
    def longestPath(self, parent: List[int], s: str) -> int:
        n = len(parent)
        children = [[] for _ in range(n)]
        for i in range(1, n):
            children[parent[i]].append(i)
        
        res = 1
        
        def dfs(node):
            nonlocal res
            max1 = max2 = 0
            for child in children[node]:
                path_len = dfs(child)
                if s[child] != s[node]:
                    if path_len > max1:
                        max2 = max1
                        max1 = path_len
                    elif path_len > max2:
                        max2 = path_len
            res = max(res, max1 + max2 + 1)
            return max1 + 1
        
        dfs(0)
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 3}, {'name': 'longestPath', 'complexity': 3, 'lineno': 4}], 'maintainability_index': 56.913894096484924, 'raw_metrics': {'loc': 24, 'lloc': 24, 'sloc': 24, 'comments': 0}}"
maximum-number-of-events-that-can-be-attended-ii,"```python
import bisect
from typing import List

class Solution:
    def maxValue(self, events: List[List[int]], k: int) -> int:
        events.sort()
        n = len(events)
        starts = [event[0] for event in events]
        
        dp = [[-1] * (k + 1) for _ in range(n)]
        
        def dfs(cur_index, count):
            if count == 0 or cur_index == n:
                return 0
            if dp[cur_index][count] != -1:
                return dp[cur_index][count]
            
            max_val = dfs(cur_index + 1, count)
            
            next_index = bisect.bisect_right(starts, events[cur_index][1])
            current_value = events[cur_index][2]
            max_val = max(max_val, current_value + dfs(next_index, count - 1))
            
            dp[cur_index][count] = max_val
            return max_val
        
        return dfs(0, k)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 4}, {'name': 'maxValue', 'complexity': 3, 'lineno': 5}], 'maintainability_index': 55.630346310650324, 'raw_metrics': {'loc': 21, 'lloc': 21, 'sloc': 21, 'comments': 0}}"
count-vowel-strings-in-ranges,"```python
class Solution:
    def vowelStrings(self, words: List[str], queries: List[List[int]]) -> List[int]:
        vowels = {'a', 'e', 'i', 'o', 'u'}
        prefix = [0] * (len(words) + 1)
        for i in range(len(words)):
            word = words[i]
            if word and word[0] in vowels and word[-1] in vowels:
                prefix[i+1] = prefix[i] + 1
            else:
                prefix[i+1] = prefix[i]
        
        ans = []
        for l, r in queries:
            ans.append(prefix[r+1] - prefix[l])
        return ans
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 7, 'lineno': 2}, {'name': 'vowelStrings', 'complexity': 6, 'lineno': 3}], 'maintainability_index': 58.27046266368533, 'raw_metrics': {'loc': 15, 'lloc': 15, 'sloc': 15, 'comments': 0}}"
find-occurrences-of-an-element-in-an-array,"```python
from typing import List

class Solution:
    def occurrencesOfElement(self, nums: List[int], queries: List[int], x: int) -> List[int]:
        indices = [i for i, num in enumerate(nums) if num == x]
        answer = []
        for q in queries:
            if q <= len(indices):
                answer.append(indices[q-1])
            else:
                answer.append(-1)
        return answer
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 3}, {'name': 'occurrencesOfElement', 'complexity': 5, 'lineno': 4}], 'maintainability_index': 64.85156469318109, 'raw_metrics': {'loc': 12, 'lloc': 12, 'sloc': 12, 'comments': 0}}"
maximum-genetic-difference-query,"```python
class Solution:
    def maxGeneticDifference(self, parents: List[int], queries: List[List[int]]) -> List[int]:
        from collections import defaultdict, deque

        tree = defaultdict(list)
        root = -1
        for i, p in enumerate(parents):
            if p == -1:
                root = i
            else:
                tree[p].append(i)
        
        query_map = defaultdict(list)
        for idx, (node, val) in enumerate(queries):
            query_map[node].append((val, idx))
        
        ans = [0] * len(queries)
        
        class TrieNode:
            __slots__ = ['children', 'count']
            def __init__(self):
                self.children = [None, None]
                self.count = 0
        
        root_trie = TrieNode()
        
        def insert(num):
            node = root_trie
            for i in range(17, -1, -1):
                bit = (num >> i) & 1
                if not node.children[bit]:
                    node.children[bit] = TrieNode()
                node = node.children[bit]
                node.count += 1
        
        def remove(num):
            node = root_trie
            for i in range(17, -1, -1):
                bit = (num >> i) & 1
                node = node.children[bit]
                node.count -= 1
        
        def query(num):
            res = 0
            node = root_trie
            for i in range(17, -1, -1):
                bit = (num >> i) & 1
                toggled_bit = 1 - bit
                if node.children[toggled_bit] and node.children[toggled_bit].count > 0:
                    res |= (1 << i)
                    node = node.children[toggled_bit]
                else:
                    node = node.children[bit]
            return res
        
        stack = [(root, True)]
        
        while stack:
            node, is_entering = stack.pop()
            if is_entering:
                insert(node)
                stack.append((node, False))
                for child in reversed(tree[node]):
                    stack.append((child, True))
            else:
                if node in query_map:
                    for val, idx in query_map[node]:
                        ans[idx] = query(val)
                remove(node)
        
        return ans
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 10, 'lineno': 2}, {'name': 'maxGeneticDifference', 'complexity': 9, 'lineno': 3}], 'maintainability_index': 41.84547806327636, 'raw_metrics': {'loc': 61, 'lloc': 61, 'sloc': 61, 'comments': 0}}"
stone-game-iv,"```python
class Solution:
    def winnerSquareGame(self, n: int) -> bool:
        dp = [False] * (n + 1)
        for i in range(1, n + 1):
            j = 1
            while j * j <= i:
                if not dp[i - j * j]:
                    dp[i] = True
                    break
                j += 1
        return dp[n]
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 1}, {'name': 'winnerSquareGame', 'complexity': 4, 'lineno': 2}], 'maintainability_index': 62.6373883820396, 'raw_metrics': {'loc': 11, 'lloc': 11, 'sloc': 11, 'comments': 0}}"
separate-squares-ii,"```python
class Solution:
    def separateSquares(self, squares: List[List[int]]) -> float:
        events = []
        for x, y, l in squares:
            top = y + l
            events.append((y, 1, x, x + l))
            events.append((top, -1, x, x + l))
        
        events.sort()
        
        active_intervals = []
        total_area = 0
        prev_y = None
        
        for y, typ, x1, x2 in events:
            if prev_y is not None and y != prev_y and active_intervals:
                delta_y = y - prev_y
                merged = []
                for interval in sorted(active_intervals):
                    if not merged:
                        merged.append(interval)
                    else:
                        last_x1, last_x2 = merged[-1]
                        if interval[0] <= last_x2:
                            merged[-1] = (last_x1, max(last_x2, interval[1]))
                        else:
                            merged.append(interval)
                current_width = 0
                for (start, end) in merged:
                    current_width += end - start
                total_area += current_width * delta_y
            
            if typ == 1:
                active_intervals.append((x1, x2))
            else:
                active_intervals.remove((x1, x2))
            
            prev_y = y
        
        target = total_area / 2
        
        events = []
        for x, y, l in squares:
            top = y + l
            events.append((y, 1, x, x + l))
            events.append((top, -1, x, x + l))
        
        events.sort()
        
        active_intervals = []
        current_area = 0
        prev_y = None
        result = 0.0
        
        for y, typ, x1, x2 in events:
            if prev_y is not None and y != prev_y and active_intervals:
                delta_y = y - prev_y
                merged = []
                for interval in sorted(active_intervals):
                    if not merged:
                        merged.append(interval)
                    else:
                        last_x1, last_x2 = merged[-1]
                        if interval[0] <= last_x2:
                            merged[-1] = (last_x1, max(last_x2, interval[1]))
                        else:
                            merged.append(interval)
                current_width = 0
                for (start, end) in merged:
                    current_width += end - start
                if current_area + current_width * delta_y >= target:
                    remaining = target - current_area
                    result = prev_y + remaining / current_width
                    return result
                current_area += current_width * delta_y
            
            if typ == 1:
                active_intervals.append((x1, x2))
            else:
                active_intervals.remove((x1, x2))
            
            prev_y = y
        
        return result
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 23, 'lineno': 2}, {'name': 'separateSquares', 'complexity': 22, 'lineno': 3}], 'maintainability_index': 36.747667864337345, 'raw_metrics': {'loc': 72, 'lloc': 72, 'sloc': 72, 'comments': 0}}"
check-if-matrix-is-x-matrix,"```python
from typing import List

class Solution:
    def checkXMatrix(self, grid: List[List[int]]) -> bool:
        n = len(grid)
        for i in range(n):
            for j in range(n):
                if i == j or i + j == n - 1:
                    if grid[i][j] == 0:
                        return False
                else:
                    if grid[i][j] != 0:
                        return False
        return True
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 8, 'lineno': 3}, {'name': 'checkXMatrix', 'complexity': 7, 'lineno': 4}], 'maintainability_index': 60.44855199195766, 'raw_metrics': {'loc': 14, 'lloc': 14, 'sloc': 14, 'comments': 0}}"
delete-nodes-from-linked-list-present-in-array,"```python
class Solution:
    def modifiedList(self, nums: List[int], head: Optional[ListNode]) -> Optional[ListNode]:
        nums_set = set(nums)
        dummy = ListNode(0)
        dummy.next = head
        prev = dummy
        current = head
        
        while current:
            if current.val in nums_set:
                prev.next = current.next
            else:
                prev = current
            current = current.next
        
        return dummy.next
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 2}, {'name': 'modifiedList', 'complexity': 3, 'lineno': 3}], 'maintainability_index': 69.06543096516874, 'raw_metrics': {'loc': 15, 'lloc': 15, 'sloc': 15, 'comments': 0}}"
max-pair-sum-in-an-array,"```python
from typing import List

class Solution:
    def maxSum(self, nums: List[int]) -> int:
        max_digits = {}
        
        for num in nums:
            max_d = max(str(num))
            max_d = int(max_d)
            if max_d not in max_digits:
                max_digits[max_d] = []
            max_digits[max_d].append(num)
        
        max_sum = -1
        for key in max_digits:
            numbers = max_digits[key]
            if len(numbers) >= 2:
                numbers.sort(reverse=True)
                current_sum = numbers[0] + numbers[1]
                if current_sum > max_sum:
                    max_sum = current_sum
        
        return max_sum
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 7, 'lineno': 3}, {'name': 'maxSum', 'complexity': 6, 'lineno': 4}], 'maintainability_index': 58.587121991087166, 'raw_metrics': {'loc': 20, 'lloc': 20, 'sloc': 20, 'comments': 0}}"
